stock,selloff_date,entry_date,exit_date,branch,z,spy_z,vr,ret,ret_net,bench_ret,excess_ret
BLK,2023-08-08,2023-08-11,2023-08-18,market_wide,-3.486823117500811,-2.36127980458306,1.3360307904865292,-0.036457446029485086,-0.037457446029485086,-0.01948765958052412,-0.017969786448960967
BLK,2023-08-16,2023-08-21,2023-08-28,market_wide,-3.4343476245762714,-4.628470541961457,0.9864996909087284,0.011033411748218036,0.010033411748218035,0.005977070195769318,0.004056341552448717
BLK,2023-09-26,2023-09-29,2023-10-06,market_wide,-3.4811452292545244,-3.51921671083322,0.8117084464534267,0.0027377653963975845,0.0017377653963975845,-0.010137919250681082,0.011875684647078666
BLK,2023-10-04,2023-10-09,2023-10-16,market_wide,-2.9161814680709135,-3.044178130175449,1.006851081071126,-0.012693838453558648,-0.013693838453558649,0.005403940103635652,-0.0190977785571943
BLK,2023-10-18,2023-10-23,2023-10-30,market_wide,-5.518885854533946,-1.3786315573832417,1.005112536302033,-0.012379421597314977,-0.013379421597314978,-0.0072742478347359585,-0.006105173762579019
BLK,2023-10-26,2023-10-31,2023-11-07,market_wide,-2.743821301581669,-3.475915426069298,1.1379521114034388,0.05930296515358635,0.05830296515358635,0.02205810312544254,0.03624486202814381
BLK,2024-01-03,2024-01-08,2024-01-16,market_wide,-3.7649253645194682,-3.083655025253418,1.3150363400522966,-0.0072881469631026485,-0.00828814696310265,-0.007440412061395452,-0.0008477349017071978
BLK,2024-01-23,2024-01-26,2024-02-02,idiosyncratic,-2.609289541762129,0.397061597802136,1.0956375838926173,0.0008891999991107458,-0.00011080000088925426,-0.0068958606700010305,0.006785060669111776
BLK,2024-01-31,2024-02-05,2024-02-12,market_wide,-4.768623005683329,-1.3929166199700809,1.0569399650000724,0.023736810583911527,0.022736810583911526,0.023242526116578732,-0.0005057155326672058
BLK,2024-03-15,2024-03-20,2024-03-27,market_wide,-3.7013916602855015,-1.809426080832543,2.9505773153433013,0.021066297751584973,0.02006629775158497,0.015388039670214626,0.004678258081370346
BLK,2024-04-04,2024-04-09,2024-04-16,market_wide,-5.308091724322675,-5.997931447679934,2.5004730170075895,-0.06745873000609037,-0.06845873000609037,-0.03352075465344351,-0.034937975352646866
BLK,2024-04-12,2024-04-17,2024-04-24,market_wide,-4.163856719978606,-3.97944114045583,2.158694328526664,0.01195287357814978,0.01095287357814978,0.014806553799162625,-0.003853680221012845
BLK,2024-04-25,2024-04-30,2024-05-07,market_wide,-2.5018617770856775,-2.2458266878290285,0.6572098536384251,0.03482447334833694,0.033824473348336936,0.012010955460884487,0.02181351788745245
BLK,2024-06-11,2024-06-14,2024-06-24,idiosyncratic,-2.7031242421563437,0.2919778001690941,0.7428248183875193,0.03850120647983579,0.03750120647983579,0.02047271044241361,0.01702849603742218
BLK,2024-10-25,2024-10-30,2024-11-06,market_wide,-4.172312726576923,-2.3466798854271937,0.7655629139072848,0.05097611544827663,0.049976115448276626,0.0368472502709134,0.013128865177363225
BLK,2024-11-20,2024-11-25,2024-12-03,market_wide,-3.193293057842613,-1.8254257356641135,0.8862384499410368,0.007280696159862821,0.006280696159862821,-0.008334328321464302,0.014615024481327121
BLK,2024-11-29,2024-12-04,2024-12-11,idiosyncratic,-2.5237137557026683,0.39547437647628886,0.5293949965385711,0.03433354032754088,0.03333354032754088,-0.0137908044800088,0.04712434480754968
BLK,2024-12-18,2024-12-23,2024-12-31,market_wide,-4.085670367677545,-11.988315503919603,1.0677514135453445,-0.01403270951865665,-0.01503270951865665,-0.009170491242484813,-0.005862218276171838
BLK,2025-02-07,2025-02-12,2025-02-20,market_wide,-3.2778388440164132,-2.296413480972153,0.8501121167408302,0.016093008818665044,0.015093008818665044,0.02757113218162721,-0.012478123362962168
BLK,2025-02-24,2025-02-27,2025-03-06,market_wide,-5.615398723529154,-3.415603235396186,1.4020930061168841,0.015610326625300708,0.014610326625300707,-0.011485908761755703,0.02609623538705641
BLK,2025-03-10,2025-03-13,2025-03-20,market_wide,-5.898654510826544,-4.126748398897943,1.1412991281520453,0.05964726130442255,0.05864726130442255,0.024099508696312277,0.03454775260811027
BLK,2025-06-13,2025-06-18,2025-06-26,market_wide,-2.9603459353231543,-1.4127947666186713,1.1864376957455045,0.05234207023732895,0.05134207023732895,0.022207336504748376,0.029134733732580576
BLK,2025-09-02,2025-09-05,2025-09-12,market_wide,-4.70144353970334,-2.1021889429338323,0.882120877386776,0.02207163970118331,0.02107163970118331,0.02236887662196696,-0.001297236920783651
BLK,2025-10-21,2025-10-24,2025-10-31,idiosyncratic,-3.705057357231309,-0.29884408964405174,1.376008789713942,-0.04735044891377671,-0.04835044891377671,-0.005196686389711491,-0.04315376252406522
BLK,2026-02-03,2026-02-06,2026-02-13,market_wide,-7.229533622579145,-1.0506956039601938,1.3823701109165207,0.014322581130128853,0.013322581130128852,0.009411080799722304,0.003911500330406548
BLK,2026-03-06,2026-03-11,2026-03-18,market_wide,-6.590251536631781,-5.199373025321597,2.4681158257800595,0.018019951584956395,0.017019951584956394,-0.017639716068212352,0.034659667653168746
BLK,2026-06-05,2026-06-10,2026-06-17,market_wide,-2.639683580989087,-3.955623403697969,0.9691494345178344,0.04620655625439585,0.04520655625439585,0.02234166928518322,0.022864886969212628
BLK,2026-06-26,2026-07-01,2026-07-09,market_wide,-3.0643655662220266,-3.449805193296743,1.639804546790149,0.040086450161217924,0.03908645016121792,0.007633927622388459,0.031452522538829464
BLK,2026-09-01,2026-09-04,2026-09-14,market_wide,-4.3507881597640985,-3.5570295969259753,0.9575229189890687,-0.04564025250195147,-0.046640252501951474,-0.019755438059126385,-0.02688481444282509
CVS,2016-01-07,2016-01-12,2016-01-20,market_wide,-4.238843808418874,-4.912734125741212,1.5570740422675629,-0.011990294791154432,-0.012990294791154433,-0.0469445270320219,0.033954232240867466
CVS,2016-01-15,2016-01-21,2016-01-28,market_wide,-2.958361162098625,-3.1614013929474543,1.3628190584742905,-0.010477971508717876,-0.011477971508717877,-0.007477918073151124,-0.004000053435566753
CVS,2016-04-07,2016-04-12,2016-04-19,market_wide,-2.863832886490544,-2.039656655206109,1.1953384405043512,0.02202877341183984,0.02102877341183984,0.026456574133421062,-0.005427800721581222
