stock,low_date,entry_date,exit_date,pct1,exit_reason,ret,ret_net,days_held,bench_ret,excess_ret
UPS,2019-09-24,2019-09-26,2019-10-03,0.00898366584928142,hold_days,-0.021528038069246636,-0.022528038069246636,5,-0.026081177164237412,0.003553139094990776
UPS,2019-12-20,2019-12-24,2020-01-02,0.013117358737782778,hold_days,-0.013014182714970013,-0.014014182714970014,5,0.003668807047904288,-0.0176829897628743
UPS,2021-03-19,2021-03-23,2021-03-30,0.011111749836001597,hold_days,0.05492281603801552,0.05392281603801552,5,0.029610027043549758,0.02431278899446576
UPS,2021-06-09,2021-06-11,2021-06-14,0.010643593708186763,early_reversal,-0.010384046487663778,-0.01138404648766378,1,0.0011628577509341653,-0.012546904238597945
UPS,2024-06-18,2024-06-21,2024-06-28,0.01989579585728049,hold_days,0.0018301916496288317,0.0008301916496288317,5,-0.009225384443387497,0.010055576093016327
UPS,2024-07-25,2024-07-29,2024-08-05,0.013770807624173948,hold_days,-0.020138420064645723,-0.021138420064645724,5,-0.05033209214816736,0.029193672083521638
UPS,2025-03-25,2025-03-27,2025-03-28,0.009640893618562728,early_reversal,-0.012160964308854716,-0.013160964308854717,1,-0.015982654826336873,0.002821690517482156
UPS,2025-05-01,2025-05-05,2025-05-06,0.019027562051332263,early_reversal,-0.018313090411218647,-0.019313090411218647,1,-0.010501697376100072,-0.008811393035118575
UPS,2026-03-09,2026-03-11,2026-03-12,0.00980590477312602,early_reversal,-0.02886905415827057,-0.02986905415827057,1,-0.013129962793328454,-0.016739091364942116
MRK,2016-02-04,2016-02-08,2016-02-16,0.016257993022337283,hold_days,0.019455602799294036,0.018455602799294035,5,0.03410140084040192,-0.015645798041107883
MRK,2016-04-29,2016-05-03,2016-05-04,0.008388167710306505,early_reversal,-0.004901338039876912,-0.005901338039876912,1,-0.00988613231058022,0.003984794270703308
MRK,2016-09-14,2016-09-16,2016-09-19,0.01678871814553677,early_reversal,-0.015253556191143436,-0.016253556191143437,1,-0.0015357469342485164,-0.01471780925689492
MRK,2016-10-17,2016-10-19,2016-10-26,0.009265127032272072,hold_days,-0.016163045761039108,-0.01716304576103911,5,0.01198807928375678,-0.02915112504479589
MRK,2017-04-18,2017-04-20,2017-04-21,0.005942222356137262,early_reversal,-0.01055149911635711,-0.011551499116357111,1,-0.0028131273715151783,-0.008738371744841933
MRK,2017-06-08,2017-06-12,2017-06-13,0.01882914710019547,early_reversal,-0.010168956279207886,-0.011168956279207887,1,0.0031196527888712744,-0.014288609068079161
MRK,2018-03-23,2018-03-27,2018-04-04,0.011795586857473572,hold_days,0.014697874298504665,0.013697874298504664,5,0.01987952296508899,-0.006181648666584327
MRK,2019-08-23,2019-08-27,2019-09-04,0.011066529884964893,hold_days,0.006197288719809402,0.005197288719809402,5,0.026164822201403037,-0.020967533481593637
MRK,2019-10-22,2019-10-24,2019-10-25,0.019311013626106103,early_reversal,-0.0038752158362148625,-0.0048752158362148626,1,0.004723013468873383,-0.009598229305088246
MRK,2020-02-13,2020-02-18,2020-02-19,0.008295353843401585,early_reversal,-0.005578135847231214,-0.006578135847231214,1,0.007343303144275337,-0.013921438991506552
MRK,2020-09-08,2020-09-10,2020-09-17,0.018600844796961724,hold_days,0.032222910726093845,0.031222910726093844,5,0.02714920475999083,0.004073705966103014
MRK,2021-01-27,2021-01-29,2021-02-05,0.011028700459239614,hold_days,-0.01647864172794722,-0.01747864172794722,5,0.030818403948257744,-0.048297045676204964
MRK,2021-04-08,2021-04-12,2021-04-19,0.010862359146431947,hold_days,0.018892697528757108,0.017892697528757107,5,0.0047932257743943385,0.013099471754362768
MRK,2022-01-24,2022-01-26,2022-02-02,0.00799202250073063,hold_days,0.03626511148318046,0.035265111483180456,5,0.05307053287678376,-0.017805421393603305
MRK,2022-07-20,2022-07-22,2022-07-29,0.005465696270734786,hold_days,-0.008545257677448292,-0.009545257677448293,5,0.03358264931496224,-0.043127906992410536
MRK,2023-03-17,2023-03-21,2023-03-22,0.016810687223101178,early_reversal,-0.010801631203834594,-0.011801631203834595,1,-0.013579482537989906,0.0017778513341553115
MRK,2023-05-18,2023-05-22,2023-05-23,0.013070036235250396,early_reversal,-0.010655899011640213,-0.011655899011640214,1,-0.011161109841733019,-0.0004947891699071949
MRK,2023-11-10,2023-11-14,2023-11-15,0.01065194789324651,early_reversal,-0.00802573353815117,-0.00902573353815117,1,0.014572952943117556,-0.023598686481268727
MRK,2023-11-15,2023-11-17,2023-11-27,0.006314848059331229,hold_days,-0.0031450114262092654,-0.0041450114262092655,5,0.006764346983713532,-0.010909358409922798
MRK,2024-03-14,2024-03-18,2024-03-25,0.008380939735667262,hold_days,0.03186774414497262,0.03086774414497262,5,0.019337979569864494,0.011529764575108126
MRK,2024-07-18,2024-07-22,2024-07-23,0.012233364124654901,early_reversal,-0.010422534660027072,-0.011422534660027073,1,-0.007600453246306649,-0.003822081413720424
MRK,2024-09-26,2024-09-30,2024-10-07,0.005305415722567447,hold_days,-0.04376563450262205,-0.044765634502622054,5,-0.0012868594748065565,-0.0434787750278155
MRK,2025-06-17,2025-06-20,2025-06-27,0.012902464303914944,hold_days,0.0005060953644171473,-0.0004939046355828527,5,0.029062115182457493,-0.029556019818040347
CRM,2015-10-30,2015-11-03,2015-11-04,0.019173968546247193,early_reversal,-0.00305226967318728,-0.00405226967318728,1,-0.004291417068565506,0.00023914739537822614
CRM,2016-11-14,2016-11-16,2016-11-23,0.017317097930680744,hold_days,0.008730084742751831,0.007730084742751831,5,0.012243742298539972,-0.004513657555788141
