stock,L1_date,H1_date,L2_date,entry_date,exit_date,rise1,drop2,ret,ret_net,bench_ret,excess_ret
GILD,2019-02-21,2019-03-01,2019-03-05,2019-03-15,2019-03-22,0.007017385184534185,0.024541787876514388,-0.028340580503594004,-0.029340580503594005,-0.0018638797876308066,-0.027476700715963198
GILD,2019-03-20,2019-03-29,2019-04-09,2019-04-10,2019-04-17,0.006347019401678106,-0.016612558513881045,-0.06157275411701035,-0.06257275411701035,0.016581381552032814,-0.07915413566904317
GILD,2019-08-14,2019-08-21,2019-08-23,2019-09-06,2019-09-13,0.016001398518057684,0.025261386514140706,0.035811474777144525,0.034811474777144524,0.0081790882275381,0.026632386549606424
GILD,2019-09-03,2019-09-05,2019-09-18,2019-09-19,2019-09-26,0.017309865026020884,-0.035495486235217255,-0.040327451542642945,-0.041327451542642946,-0.008556239648561337,-0.03277121189408161
GILD,2020-08-19,2020-08-31,2020-09-08,2020-09-14,2020-09-21,0.015981588788165677,0.03910088431113818,-0.03210734961889361,-0.03310734961889361,-0.015566264234742055,-0.017541085384151556
GILD,2020-11-20,2020-11-30,2020-12-09,2020-12-11,2020-12-18,0.009315986429669298,-0.002472481059919783,-0.016644552975825122,-0.017644552975825123,0.0024449152923908812,-0.020089468268216004
GILD,2021-02-25,2021-03-04,2021-03-11,2021-03-15,2021-03-22,0.007007363156640554,0.0022140396590886427,0.03900450656289656,0.038004506562896556,0.0025647763877940655,0.03543973017510249
GILD,2021-04-12,2021-04-15,2021-04-22,2021-05-03,2021-05-10,0.01716654081525096,0.001976338125564245,0.025531844190809894,0.024531844190809893,0.01807580235813555,0.006456041832674342
GILD,2021-05-25,2021-06-03,2021-06-16,2021-06-17,2021-06-24,0.003774759699575826,-0.02335100738452874,-0.0005950136119552418,-0.0015950136119552418,0.007510974603831766,-0.009105988215787009
GILD,2021-06-16,2021-06-25,2021-07-08,2021-07-09,2021-07-16,0.008168804871645815,0.0027988845701585074,0.006009977822561519,0.0050099778225615186,-0.009820418169411038,0.014830395991972556
GILD,2022-04-26,2022-05-04,2022-05-11,2022-05-12,2022-05-19,0.005018636579805122,0.024484561794807715,0.01264409161275637,0.011644091612756369,-0.027419216555977788,0.03906330816873416
GILD,2022-06-09,2022-06-21,2022-06-30,2022-07-01,2022-07-11,0.0014073354044264936,-0.021484138782480622,0.004810583240788535,0.003810583240788535,0.010102950899159246,-0.006292367658370711
GILD,2022-09-21,2022-09-28,2022-09-30,2022-10-04,2022-10-11,0.006771726578536871,0.03503824424287643,0.005512051766862092,0.004512051766862092,-0.04149190051575269,0.04600395228261478
GILD,2022-12-20,2022-12-30,2023-01-09,2023-01-10,2023-01-18,0.012740462471120881,0.00873618658860238,-0.03901751294282674,-0.04001751294282674,-0.017079884243586974,-0.022937628699239765
GILD,2023-01-20,2023-02-03,2023-02-15,2023-02-17,2023-02-27,0.0179497499747079,-0.006509121666930024,-0.04565839323000065,-0.04665839323000065,-0.025054837763058724,-0.021603555466941926
GILD,2023-05-25,2023-06-02,2023-06-06,2023-06-08,2023-06-15,0.003090742032429064,0.02169750556399772,0.017379483202195622,0.01637948320219562,0.03336127715798409,-0.01698179395578847
GILD,2023-06-26,2023-07-05,2023-07-07,2023-07-17,2023-07-24,0.008881979306350863,0.03650965649191386,0.00232298204664394,0.00132298204664394,0.01919148084889155,-0.017868498802247612
GILD,2023-11-09,2023-11-20,2023-11-28,2023-11-30,2023-12-07,0.013603373526584528,0.019605169050751086,0.018929519280000973,0.01792951928000097,0.007392945844663101,0.01053657343533787
GILD,2024-02-13,2024-02-23,2024-02-29,2024-03-07,2024-03-14,0.00027202845641424906,0.019714496382564815,0.0177865844523184,0.016786584452318398,-0.0018772315308462906,0.01866381598316469
GILD,2024-05-28,2024-06-07,2024-06-13,2024-06-14,2024-06-24,0.011886011411878023,0.01761968581735945,0.08715029086235249,0.08615029086235249,0.020472748088225634,0.06567754277412685
GILD,2025-04-07,2025-04-14,2025-04-25,2025-04-30,2025-05-07,0.00928730508568048,0.03126743816949916,-0.07171008188434447,-0.07271008188434447,0.005633954396946361,-0.07834403628129083
GILD,2025-07-11,2025-07-22,2025-07-31,2025-08-01,2025-08-08,0.004834058377469265,-0.019242996339914227,0.055045068167385525,0.054045068167385524,0.024240651304760386,0.029804416862625138
