stock,L_date,L2_date,entry_date,exit_date,fall,retest_pct,ret,ret_net,bench_ret,excess_ret
EMR,2024-09-06,2024-09-10,2024-09-11,2024-09-18,0.06831770420610396,0.00926785011267437,0.03773400093250201,0.03673400093250201,0.021097771791690922,0.015636229140811087
EMR,2024-10-25,2024-10-29,2024-10-30,2024-11-06,0.04003919844235928,0.007213755913665781,0.163639729023642,0.162639729023642,0.03684728061257414,0.12579244841106785
EMR,2025-02-14,2025-02-19,2025-02-20,2025-02-27,0.04684932931298943,0.008837464162918052,-0.0380760779924636,-0.0390760779924636,-0.026057819856829312,-0.013018258135634286
EMR,2025-02-25,2025-02-27,2025-02-28,2025-03-07,0.052662420377439546,0.0023388137143655298,-0.024669073289550925,-0.025669073289550925,-0.0202255845089927,-0.0054434887805582255
EMR,2025-11-07,2025-11-11,2025-11-12,2025-11-19,0.07526940213936781,0.00030873608211577874,-0.028041897288521245,-0.029041897288521246,-0.03188154990034775,0.002839652611826504
EMR,2026-03-12,2026-03-16,2026-03-17,2026-03-24,0.13449461885033034,0.0068846739769953405,-0.01766174101249307,-0.01866174101249307,-0.024502126307709537,0.005840385295216466
EMR,2026-07-13,2026-07-15,2026-07-16,2026-07-23,0.05651965892365518,0.006426398992024339,0.041846374827841704,0.0408463748278417,0.0014563110322214357,0.03939006379562027
UPS,2015-10-28,2015-10-30,2015-11-02,2015-11-09,0.03904479085409577,0.00380006004854527,-0.005355474902736357,-0.006355474902736357,-0.020591351268440694,0.014235876365704336
UPS,2015-12-21,2015-12-23,2015-12-24,2016-01-04,0.05427062951217867,0.003612844862058744,-0.02568310285988129,-0.02668310285988129,-0.022222001781902034,-0.004461101077979257
UPS,2016-05-13,2016-05-17,2016-05-18,2016-05-25,0.034622145641882485,0.0042718159978726,0.009871787464668547,0.008871787464668546,0.029972593815454696,-0.02110080635078615
UPS,2017-02-02,2017-02-06,2017-02-07,2017-02-14,0.1100003949367405,0.009134000276891078,0.031223028952116927,0.030223028952116926,0.012445410985307603,0.017777617966809323
UPS,2017-04-13,2017-04-18,2017-04-19,2017-04-26,0.03317785368155562,0.003470401923405297,0.03025089296500716,0.029250892965007158,0.026787912377105316,0.002462980587901842
UPS,2017-05-17,2017-05-19,2017-05-22,2017-05-30,0.035631917414568275,0.005346307936889888,0.029196091286499914,0.028196091286499914,0.015040953642237787,0.013155137644262127
UPS,2018-02-12,2018-02-14,2018-02-15,2018-02-23,0.18623692294660052,0.002727831154303557,-0.016666387858439324,-0.017666387858439325,0.0037108734832884682,-0.021377261341727793
UPS,2018-02-21,2018-02-23,2018-02-26,2018-03-05,0.06319677875193001,0.008691739487437268,-0.020912481477554756,-0.021912481477554757,-0.01563038667182881,-0.006282094805725946
UPS,2018-03-23,2018-03-27,2018-03-28,2018-04-05,0.08340121751138252,0.0050169195498053635,0.04382582784267153,0.04282582784267153,0.020043092796200312,0.022782735046471214
UPS,2018-07-03,2018-07-06,2018-07-09,2018-07-16,0.07890582729519124,0.0025529226291045697,0.01897015240665456,0.01797015240665456,0.008015740131040339,0.009954412275614222
UPS,2018-09-18,2018-09-20,2018-09-21,2018-09-28,0.05150025401818699,0.007442157099303218,-0.014684818493061247,-0.015684818493061248,-0.004338164071053252,-0.011346654422007996
UPS,2019-09-24,2019-09-26,2019-09-27,2019-10-04,0.039560370198616655,0.0038986704620765926,-0.012273888364187302,-0.013273888364187303,-0.004367556320509336,-0.008906332043677967
UPS,2019-11-20,2019-11-22,2019-11-25,2019-12-03,0.03814757888959579,0.002604835013895439,-0.028013564937315216,-0.029013564937315217,-0.018050484173318337,-0.01096308076399688
UPS,2019-12-30,2020-01-02,2020-01-03,2020-01-10,0.03200612364879615,0.0030059721925342537,-0.00728253007652746,-0.008282530076527461,0.01220042370915686,-0.02048295378568432
UPS,2020-09-08,2020-09-10,2020-09-11,2020-09-18,0.05627956960398976,0.009204210108161298,0.004972564048327133,0.003972564048327133,0.014086504258688848,-0.010113940210361716
UPS,2020-10-28,2020-10-30,2020-11-02,2020-11-09,0.10921767281087759,0.008537503955926097,0.023002058094858224,0.022002058094858223,0.08062142245145254,-0.05861936435659432
UPS,2021-03-19,2021-03-23,2021-03-24,2021-03-31,0.05009244543798064,0.0035786105077780677,0.06303555657653792,0.06203555657653792,0.029913967245053463,0.03212158933148446
UPS,2021-08-05,2021-08-09,2021-08-10,2021-08-17,0.10697355897049891,0.0029410885333772526,0.03751098928880747,0.03651098928880747,0.004393992524492685,0.03211699676431479
UPS,2022-05-03,2022-05-05,2022-05-06,2022-05-13,0.06591820134402117,0.009375513908522086,-0.0019572749027730874,-0.0029572749027730874,-0.010724250424293924,0.007766975521520837
UPS,2022-08-31,2022-09-02,2022-09-06,2022-09-13,0.06678500985126319,0.007917511494603229,-0.016584855589631964,-0.017584855589631965,0.008977441162266508,-0.026562296751898473
UPS,2022-10-07,2022-10-11,2022-10-12,2022-10-19,0.057730087180062346,0.001696869847839071,0.03956600902030827,0.03856600902030827,0.03531613545265544,0.003249873567652828
UPS,2022-12-28,2022-12-30,2023-01-03,2023-01-10,0.05805424796677956,0.001324508282600373,0.019911060051300833,0.018911060051300832,0.03908294507973564,-0.02017188502843481
UPS,2023-08-22,2023-08-24,2023-08-25,2023-09-01,0.06744855951245816,0.0008390020435475499,-0.005151955106138306,-0.006151955106138306,0.024422753932165975,-0.030574709038304282
