variant,stock,entry_date,exit_date,exit_reason,ret,ret_net,touch_gap,provisional_sessions,bench_ret,excess_ret
gap60,GD,2020-04-22,2020-04-29,hold_days,0.024593053738015236,0.023593053738015235,17,1,0.02944260351925565,-0.005849549781240415
base,GD,2022-02-11,2022-02-18,hold_days,0.0096370178846239,0.008637017884623899,18,1,-0.022494982772603866,0.031132000657227765
gap60,GD,2022-02-11,2022-02-18,hold_days,0.0096370178846239,0.008637017884623899,18,1,-0.022494982772603866,0.031132000657227765
base,GD,2022-04-27,2022-05-04,hold_days,0.012251158115446081,0.01125115811544608,14,1,0.032786486920945546,-0.021535328805499465
gap60,GD,2022-04-27,2022-05-04,hold_days,0.012251158115446081,0.01125115811544608,14,1,0.032786486920945546,-0.021535328805499465
base,GD,2022-07-15,2022-07-22,hold_days,0.018752543837320168,0.017752543837320167,123,1,0.02226871732018032,-0.004516173482860153
base,GD,2022-11-16,2022-11-23,hold_days,0.030301961916793463,0.029301961916793462,61,2,0.029317141703764094,-1.5179786970631604e-05
conf2,GD,2022-11-16,2022-11-23,hold_days,0.030301961916793463,0.029301961916793462,61,2,0.029317141703764094,-1.5179786970631604e-05
base,GD,2023-05-15,2023-05-22,hold_days,0.010989059540608359,0.009989059540608358,153,2,0.009884062354800438,0.00010499718580792017
conf2,GD,2023-05-15,2023-05-22,hold_days,0.010989059540608359,0.009989059540608358,153,2,0.009884062354800438,0.00010499718580792017
gap60,GD,2025-03-25,2025-04-01,hold_days,0.024669182610119744,0.023669182610119743,57,2,-0.007708708231152661,0.031377890841272404
gap60+conf2,GD,2025-03-25,2025-04-01,hold_days,0.024669182610119744,0.023669182610119743,57,2,-0.007708708231152661,0.031377890841272404
base,GD,2025-11-28,2025-12-05,hold_days,-0.012645248621254712,-0.013645248621254713,12,3,-0.016170767536686226,0.0025255189154315127
gap60,GD,2025-11-28,2025-12-05,hold_days,-0.012645248621254712,-0.013645248621254713,12,3,-0.016170767536686226,0.0025255189154315127
conf2,GD,2025-11-28,2025-12-05,hold_days,-0.012645248621254712,-0.013645248621254713,12,3,-0.016170767536686226,0.0025255189154315127
gap60+conf2,GD,2025-11-28,2025-12-05,hold_days,-0.012645248621254712,-0.013645248621254713,12,3,-0.016170767536686226,0.0025255189154315127
base,GD,2026-08-27,2026-09-03,hold_days,-0.037336216735671,-0.038336216735671,36,2,-0.013093535814084012,-0.02524268092158699
gap60,GD,2026-08-27,2026-09-03,hold_days,-0.037336216735671,-0.038336216735671,36,2,-0.013093535814084012,-0.02524268092158699
conf2,GD,2026-08-27,2026-09-03,hold_days,-0.037336216735671,-0.038336216735671,36,2,-0.013093535814084012,-0.02524268092158699
gap60+conf2,GD,2026-08-27,2026-09-03,hold_days,-0.037336216735671,-0.038336216735671,36,2,-0.013093535814084012,-0.02524268092158699
base,PEP,2018-02-22,2018-03-01,hold_days,-0.003120491315153351,-0.004120491315153351,72,1,-0.004186531757038314,6.604044188496336e-05
base,PEP,2019-01-16,2019-01-24,hold_days,0.01070696489667955,0.009706964896679549,66,2,0.021985403380087476,-0.012278438483407927
conf2,PEP,2019-01-16,2019-01-24,hold_days,0.01070696489667955,0.009706964896679549,66,2,0.021985403380087476,-0.012278438483407927
gap60,PEP,2019-02-28,2019-03-07,hold_days,0.003977883932500648,0.0029778839325006476,54,1,-0.022407857050779856,0.025385740983280503
gap60,PEP,2020-05-05,2020-05-12,hold_days,0.009645763240279104,0.008645763240279103,44,2,0.002808804326236869,0.005836958914042234
gap60+conf2,PEP,2020-05-05,2020-05-12,hold_days,0.009645763240279104,0.008645763240279103,44,2,0.002808804326236869,0.005836958914042234
gap60,PEP,2020-11-27,2020-12-04,hold_days,0.015830288887296096,0.014830288887296095,29,3,0.022216875885131104,-0.00738658699783501
gap60+conf2,PEP,2020-11-27,2020-12-04,hold_days,0.015830288887296096,0.014830288887296095,29,3,0.022216875885131104,-0.00738658699783501
