stock,entry_date,exit_date,branch,z,spy_z,ret,ret_net,bench_ret,excess_ret
KO,2018-05-09,2018-05-16,idiosyncratic,-2.9588304325640564,1.6032638246942008,-0.005505084357311563,-0.006505084357311563,0.028078545970006585,-0.03458363032731815
KO,2018-06-20,2018-06-27,market_wide,-2.489605238176169,-2.486785098693843,-0.004392020680811348,-0.005392020680811348,-0.02428990917216256,0.01889788849135121
KO,2018-06-28,2018-07-06,market_wide,-2.079612406972593,-2.3588497525630077,0.026914880384010686,0.025914880384010686,0.019619549736918263,0.006295330647092423
KO,2018-08-08,2018-08-15,idiosyncratic,-2.365023585437102,-0.06622631222852918,-0.0015172188888068483,-0.0025172188888068483,-0.01509258556358195,0.012575366674775101
KO,2018-08-22,2018-08-29,idiosyncratic,-2.8162563811028174,-0.11067110172675927,-0.01306311320898712,-0.014063113208987121,0.018726744942912488,-0.03278985815189961
KO,2018-09-26,2018-10-03,market_wide,-2.44258105925251,-1.6008086026904516,0.0004361613139545195,-0.0005638386860454805,0.007512602945950464,-0.008076441631995945
KO,2018-10-04,2018-10-11,market_wide,-2.3986832659462762,-3.825557992310009,-0.02639040996407027,-0.027390409964070273,-0.062457405017918854,0.03506699505384858
KO,2018-10-12,2018-10-19,market_wide,-3.322991201197579,-2.4215437143315577,0.03692939038327947,0.03592939038327947,-0.005293656942640723,0.04122304732592019
KO,2018-11-20,2018-11-28,market_wide,-2.754156987769686,-4.144056452742465,0.006682589641548109,0.005682589641548109,0.03944440927924453,-0.03376181963769642
KO,2018-11-29,2018-12-07,idiosyncratic,-2.0189147806397223,-0.14878581622164688,0.0022456952256699747,0.0012456952256699747,-0.03919628818598553,0.0404419834116555
KO,2018-12-10,2018-12-17,market_wide,-2.0882418735228163,-2.9069346187899323,-0.018481192307183703,-0.019481192307183703,-0.03532640539493215,0.015845213087748444
KO,2018-12-18,2018-12-26,market_wide,-3.579211244368307,-3.7937022173427732,-0.028559956115503438,-0.02955995611550344,-0.026377595588813474,-0.0031823605266899646
KO,2018-12-28,2019-01-07,market_wide,-2.157892718430326,-1.870108300467406,-0.005296524551704596,-0.006296524551704596,0.029727286178534484,-0.03602381073023908
KO,2019-01-09,2019-01-16,idiosyncratic,-2.0268865175944675,0.19300080116822346,0.007515508743325183,0.006515508743325183,-0.004707791822478047,0.01122330056580323
KO,2019-01-25,2019-02-01,idiosyncratic,-2.189010341271621,-0.247407890913043,0.028077155442829405,0.027077155442829404,0.01938173207803806,0.007695423364791343
KO,2019-02-15,2019-02-25,idiosyncratic,-3.6779529558428914,1.270482919124717,-0.006631065457492036,-0.007631065457492036,0.002572541589232369,-0.010203607046724406
