variant,stock,entry_date,exit_date,ret,ret_net,drop_a,drop_b,bench_ret,excess_ret
within,UNP,2019-08-09,2019-08-16,-0.010475296494276809,-0.01147529649427681,0.0756438227161084,0.008411837637541119,-0.011599073246435387,0.00012377675215857753
within,UNP,2020-05-07,2020-05-14,-0.024197030014915466,-0.025197030014915467,0.05179353101998559,0.013389751701674486,0.01865191377772879,-0.04384894379264426
hold,UNP,2020-09-24,2020-10-01,-0.0073594661660609795,-0.00835946616606098,0.04223951276960088,0.015320465742597988,0.042090191364300145,-0.050449657530361125
within,UNP,2020-09-24,2020-10-01,-0.0073594661660609795,-0.00835946616606098,0.04223951276960088,0.015320465742597988,0.042090191364300145,-0.050449657530361125
hold,UNP,2021-05-26,2021-06-03,0.009740320268330827,0.008740320268330826,0.03530248297849472,0.0072725836624491684,0.0055039631260729305,0.003236357142257895
within,UNP,2021-05-26,2021-06-03,0.009740320268330827,0.008740320268330826,0.03530248297849472,0.0072725836624491684,0.0055039631260729305,0.003236357142257895
hold,UNP,2021-07-14,2021-07-21,-0.012997042485924704,-0.013997042485924704,0.04482616744176542,0.011386763849587122,-0.00034927985627142277,-0.013647762629653282
within,UNP,2021-07-14,2021-07-21,-0.012997042485924704,-0.013997042485924704,0.04482616744176542,0.011386763849587122,-0.00034927985627142277,-0.013647762629653282
hold,UNP,2021-08-04,2021-08-11,0.040299762080193036,0.039299762080193035,0.016623201642499478,0.005684314634581819,0.006965502055084061,0.032334260025108974
within,UNP,2021-08-04,2021-08-11,0.040299762080193036,0.039299762080193035,0.016623201642499478,0.005684314634581819,0.006965502055084061,0.032334260025108974
within,UNP,2022-07-11,2022-07-18,0.0016677905456987663,0.0006677905456987663,0.028485897098321666,0.013875729287497482,-0.006918096635360249,0.007585887181059015
hold,UNP,2023-01-03,2023-01-10,0.022641775602368464,0.021641775602368463,0.04635430727435827,0.010329598889798099,0.029698046135296696,-0.008056270532928234
within,UNP,2023-01-03,2023-01-10,0.022641775602368464,0.021641775602368463,0.04635430727435827,0.010329598889798099,0.029698046135296696,-0.008056270532928234
within,UNP,2023-06-27,2023-07-05,0.00458169588341284,0.0035816958834128396,0.02229394286041144,0.01863559518771094,0.015578605252499766,-0.011996909369086928
hold,UNP,2023-09-13,2023-09-20,0.004006914005348694,0.003006914005348694,0.05840060804642628,0.0008974403457076335,-0.020984892808349254,0.023991806813697947
within,UNP,2023-09-13,2023-09-20,0.004006914005348694,0.003006914005348694,0.05840060804642628,0.0008974403457076335,-0.020984892808349254,0.023991806813697947
hold,UNP,2024-02-20,2024-02-27,0.024884636717165565,0.023884636717165564,0.017195939443947945,0.015931310575950174,0.030772829523997514,-0.00688819280683195
within,UNP,2024-02-20,2024-02-27,0.024884636717165565,0.023884636717165564,0.017195939443947945,0.015931310575950174,0.030772829523997514,-0.00688819280683195
within,UNP,2024-09-27,2024-10-04,-0.021947344660635526,-0.022947344660635527,0.038392792002874966,0.023284782053874655,0.00044746288488184405,-0.02339480754551737
within,UNP,2025-04-22,2025-04-29,-0.010880597898402455,-0.011880597898402456,0.09614920972654573,0.019298850788088524,0.05465332542804946,-0.06653392332645192
hold,UNP,2025-05-29,2025-06-05,-0.002351121177443294,-0.003351121177443294,0.04106145251569475,0.009719486652853517,0.006249361669015796,-0.00960048284645909
within,UNP,2025-05-29,2025-06-05,-0.002351121177443294,-0.003351121177443294,0.04106145251569475,0.009719486652853517,0.006249361669015796,-0.00960048284645909
hold,UNP,2025-09-17,2025-09-24,0.06073586722648039,0.05973586722648039,0.039505213183758756,0.0011567510531022727,0.01950970242797112,0.04022616479850927
within,UNP,2025-09-17,2025-09-24,0.06073586722648039,0.05973586722648039,0.039505213183758756,0.0011567510531022727,0.01950970242797112,0.04022616479850927
within,UNP,2026-05-07,2026-05-14,0.016799326505154255,0.015799326505154254,0.024178546609538228,0.022782572248322926,0.04846751864769816,-0.032668192142543906
hold,UNP,2026-06-16,2026-06-24,-0.028005277807073403,-0.029005277807073404,0.040065818077991075,0.019925788849584514,-0.019353903680439877,-0.009651374126633527
within,UNP,2026-06-16,2026-06-24,-0.028005277807073403,-0.029005277807073404,0.040065818077991075,0.019925788849584514,-0.019353903680439877,-0.009651374126633527
hold,UNP,2026-08-07,2026-08-14,0.0018762848534894516,0.0008762848534894516,0.05987252249562461,0.0030855785439665513,-0.010303664021703685,0.011179948875193135
within,UNP,2026-08-07,2026-08-14,0.0018762848534894516,0.0008762848534894516,0.05987252249562461,0.0030855785439665513,-0.010303664021703685,0.011179948875193135
