stock,low_date,entry_date,exit_date,branch,pct1,ret,ret_net,bench_ret,excess_ret
KO,2022-08-22,2022-08-23,2022-08-30,flat,0.001090378555843569,-0.032985744792234484,-0.033985744792234485,-0.03732424706791049,0.003338502275676003
KO,2022-08-31,2022-09-01,2022-09-09,flat,0.0046996049695630735,0.005161170549608851,0.004161170549608851,0.021938668040271336,-0.017777497490662486
KO,2022-12-16,2022-12-19,2022-12-27,flat,0.0014343449100322958,0.02180118455870539,0.020801184558705388,0.0029935639708866812,0.017807620587818707
KO,2023-01-12,2023-01-13,2023-01-23,flat,0.0035941034759154533,-0.01953427700797128,-0.02053427700797128,-0.005825917728787711,-0.01470835927918357
KO,2023-05-18,2023-05-19,2023-05-26,flat,0.00047763974140199706,-0.04090407338669022,-0.04190407338669022,-0.0057992238419962705,-0.03610484954469395
KO,2023-06-23,2023-06-26,2023-07-03,flat,0.00032690719493079474,-0.010454188142110854,-0.011454188142110855,0.019624351664425,-0.031078539806535854
KO,2023-07-10,2023-07-11,2023-07-18,flat,0.003540812562806648,0.017641104256026052,0.01664110425602605,0.013730628244489118,0.0029104760115369332
KO,2023-08-22,2023-08-23,2023-08-30,flat,0.0034965266788126188,0.0033182634893997864,0.0023182634893997864,0.017601603342478622,-0.015283339853078837
KO,2023-09-12,2023-09-13,2023-09-20,flat,0.002401460389312527,0.00793378520947563,0.00693378520947563,-0.007948320747084736,0.014882105956560365
KO,2023-10-03,2023-10-04,2023-10-11,flat,0.002915526567589029,-0.024164299343667595,-0.025164299343667595,0.012296156486284016,-0.03746045582995161
KO,2024-01-24,2024-01-25,2024-02-01,flat,0.004243739129594355,0.030764123679130506,0.029764123679130505,-0.004658343559919675,0.03442246723905018
KO,2024-04-04,2024-04-05,2024-04-12,flat,0.0035412216700540823,-0.020668613902388167,-0.021668613902388167,-0.019570248381976296,-0.002098365520411871
KO,2024-10-07,2024-10-08,2024-10-15,flat,0.00246335567004946,0.016767756870382566,0.015767756870382565,0.01815125541395579,-0.002383498543573226
KO,2024-11-15,2024-11-18,2024-11-25,flat,0.0019436370095196266,0.04073700324256646,0.03973700324256646,0.014282900810680399,0.02545410243188606
KO,2024-12-19,2024-12-20,2024-12-30,flat,0.001601153322739326,-0.00831337864730397,-0.009313378647303971,-0.007603473482176937,-0.0017099051651270347
KO,2025-01-06,2025-01-07,2025-01-15,flat,0.0004935113397660983,0.015285974964153182,0.01428597496415318,0.01852508853047552,-0.004239113566322339
KO,2025-03-21,2025-03-24,2025-03-31,flat,0.004077328256176499,0.038723959206921954,0.03772395920692195,-0.02046325921325509,0.058187218420177045
KO,2025-04-07,2025-04-08,2025-04-15,flat,0.0007313638243806077,0.05027759548672517,0.04927759548672517,0.05815688026422783,-0.00887928477750266
KO,2025-07-09,2025-07-10,2025-07-17,flat,0.004173775549381272,0.011752902961036149,0.010752902961036148,-0.018114837520277427,0.028867740481313575
KO,2025-12-02,2025-12-03,2025-12-10,flat,0.0019810998169015187,-0.008473295455543983,-0.009473295455543984,0.010314271529497043,-0.019787566985041027
KO,2026-03-05,2026-03-06,2026-03-13,flat,0.00012994615766275428,0.010796648167982204,0.009796648167982203,-0.0014540175634555341,0.011250665731437737
KO,2026-03-20,2026-03-23,2026-03-30,flat,0.004816040281751532,0.015444007502538604,0.014444007502538603,-0.01961549154756681,0.03405949905010541
