stock,low_date,entry_date,exit_date,ret,ret_net,exit_reason,days_held,bench_ret,excess_ret
BA,2017-01-17,2017-01-23,2017-01-30,0.04897358422732023,0.04797358422732023,hold_days,5,0.011127588239472797,0.036845995987847435
BA,2017-03-10,2017-03-16,2017-03-21,-0.012514808588830473,-0.013514808588830474,market_dd,3,-0.014205175344233933,0.0006903667554034598
BA,2018-03-22,2018-03-28,2018-04-05,0.05118407585286633,0.05018407585286633,hold_days,5,0.02576882152957971,0.024415254323286617
BA,2021-05-05,2021-05-11,2021-05-12,-0.035389749784664915,-0.036389749784664915,market_dd,1,-0.019928493454694496,-0.01646125632997042
BA,2021-06-29,2021-07-06,2021-07-13,-0.03362413170970102,-0.03462413170970102,hold_days,5,0.005935968836742411,-0.040560100546443434
BA,2022-05-02,2022-05-06,2022-05-09,-0.10470112140319376,-0.10570112140319377,market_dd,1,-0.028384871233952058,-0.07731625016924171
BA,2024-06-18,2024-06-25,2024-07-02,0.058937702488306654,0.05793770248830665,hold_days,5,0.0034279891068429436,0.05450971338146371
CAT,2016-12-30,2017-01-06,2017-01-13,0.015476969530412221,0.01447696953041222,hold_days,5,0.0014975034404882681,0.012979466089923952
CAT,2018-10-11,2018-10-17,2018-10-18,-0.0391963062586097,-0.040196306258609704,market_dd,1,-0.015976351509465414,-0.02421995474914429
CAT,2021-07-08,2021-07-14,2021-07-16,-0.01743520382635244,-0.018435203826352442,market_dd,2,-0.0073995733686847975,-0.011035630457667644
CAT,2021-09-30,2021-10-06,2021-10-13,-0.01521935520273654,-0.01621935520273654,hold_days,5,-0.0007680584972920013,-0.01545129670544454
CAT,2025-02-12,2025-02-19,2025-02-21,-0.03671379116443818,-0.03771379116443818,market_dd,2,-0.01188389954689506,-0.02582989161754312
CVX,2017-02-17,2017-02-24,2017-03-03,0.031147931411669827,0.030147931411669826,hold_days,5,0.005918816982800168,0.024229114428869658
CVX,2017-03-14,2017-03-20,2017-03-21,0.003529754328590151,0.002529754328590151,market_dd,1,-0.013007716100036038,0.015537470428626188
