variant,stock,entry_date,exit_date,exit_reason,ret,ret_net,ret_hold5,age_days,bench_ret,excess_ret,excess_hold5
base,PFE,2018-11-16,2018-11-26,hold_days,-0.003907149243689401,-0.004907149243689401,-0.004907149243689401,2,-0.021973343244823917,0.017066194001134516,0.017066194001134516
trough9_any,PFE,2018-12-17,2018-12-24,hold_days,-0.059383228720728765,-0.060383228720728765,-0.060383228720728765,26,-0.07513587632807162,0.01475264760734285,0.01475264760734285
trough9,PFE,2019-01-14,2019-01-22,hold_days,-0.002359947908056159,-0.003359947908056159,-0.003359947908056159,4,0.0070189015294865875,-0.010378849437542748,-0.010378849437542748
trough9_any,PFE,2019-01-14,2019-01-22,hold_days,-0.002359947908056159,-0.003359947908056159,-0.003359947908056159,4,0.0070189015294865875,-0.010378849437542748,-0.010378849437542748
base,PFE,2019-04-23,2019-04-30,hold_days,0.030187411130287556,0.029187411130287555,0.029187411130287555,1,0.012488908609056049,0.016698502521231506,0.016698502521231506
base,PFE,2019-09-30,2019-10-07,hold_days,-0.002782950460956557,-0.003782950460956557,-0.003782950460956557,4,0.0029843351615892466,-0.006767285622545804,-0.006767285622545804
base,PFE,2020-01-23,2020-01-30,hold_days,-0.08011126919660949,-0.08111126919660949,-0.08111126919660949,1,-0.014481333719585265,-0.06662993547702423,-0.06662993547702423
trough9_any,PFE,2020-02-25,2020-03-03,hold_days,0.010904829941954963,0.009904829941954962,0.009904829941954962,186,-0.02221410820378844,0.0321189381457434,0.0321189381457434
base,PFE,2020-02-27,2020-03-02,resistance,0.022873863668231298,0.021873863668231297,0.03888280758321894,2,0.04385150548815986,-0.02197764181992856,-0.004968697904940922
trough9,PFE,2020-03-19,2020-03-26,hold_days,0.04372171502738453,0.04272171502738453,0.04272171502738453,3,0.08695625713646749,-0.04423454210908295,-0.04423454210908295
trough9_any,PFE,2020-03-19,2020-03-26,hold_days,0.04372171502738453,0.04272171502738453,0.04272171502738453,3,0.08695625713646749,-0.04423454210908295,-0.04423454210908295
trough9_any,PFE,2020-05-21,2020-05-29,hold_days,0.024959858095338294,0.023959858095338293,0.023959858095338293,8,0.036228649260802825,-0.012268791165464532,-0.012268791165464532
base,PFE,2020-06-15,2020-06-22,hold_days,-0.007494020451873862,-0.008494020451873863,-0.008494020451873863,4,0.015723513255307076,-0.024217533707180938,-0.024217533707180938
trough9_any,PFE,2021-01-06,2021-01-13,hold_days,-0.0002711890577923315,-0.0012711890577923315,-0.0012711890577923315,7,0.02437250284516268,-0.025643691902955013,-0.025643691902955013
trough9_any,PFE,2021-01-14,2021-01-22,hold_days,-0.005442118777068572,-0.006442118777068572,-0.006442118777068572,15,0.008568333463023547,-0.01501045224009212,-0.01501045224009212
trough9_any,PFE,2021-07-06,2021-07-13,hold_days,0.009162993098045913,0.008162993098045912,0.008162993098045912,11,-0.00016356234909853384,0.008326555447144446,0.008326555447144446
base,PFE,2022-01-06,2022-01-13,hold_days,0.012764495515922736,0.011764495515922735,0.011764495515922735,2,-0.011808510933710381,0.023573006449633116,0.023573006449633116
