stock,entry_date,exit_date,branch,z,spy_z,vr,streak_len,streak_decline,ret,ret_net,bench_ret,excess_ret
GILD,2020-01-16,2020-01-24,idiosyncratic,2.4012778497995626,1.2870136188559176,1.5720877148631247,5.0,-0.040097196942795475,-0.0007910756808646724,-0.0017910756808646724,-0.007552261840392482,0.00576118615952781
GILD,2020-02-25,2020-03-03,market_wide,2.369148409815453,-5.5113736142591625,2.4497540196784255,1.0,-0.038408853131739744,0.05863056219297791,0.05763056219297791,-0.031478378642966987,0.0891089408359449
GILD,2020-03-09,2020-03-16,market_wide,5.189670653934497,-5.520984508302962,0.9769470204802657,1.0,-0.08352032648748364,-0.054112761114211594,-0.055112761114211595,-0.10910704087936796,0.05399427976515636
GILD,2020-03-20,2020-03-27,market_wide,3.741328227403498,-3.18394714426091,1.1057432183463518,2.0,-0.07756236290971327,-0.005596324704435496,-0.006596324704435496,0.08122508144425411,-0.0878214061486896
GILD,2020-04-21,2020-04-28,market_wide,2.552848294654067,-1.8933419627605959,0.792121189065467,2.0,-0.06500776674378154,0.0017827352356176718,0.0007827352356176718,0.051028935571576284,-0.05024620033595861
GILD,2020-07-31,2020-08-07,idiosyncratic,2.2635306833948876,-0.17780376296836953,2.9753371506337634,4.0,-0.06721202554712744,-0.0025889348604570817,-0.0035889348604570817,0.02954559659824496,-0.03313453145870204
GILD,2020-10-19,2020-10-26,market_wide,3.0173007197502058,-1.964665738551366,1.1477743394429898,5.0,-0.06165771566982978,-0.010071149712929661,-0.011071149712929662,-0.01763443417597277,0.006563284463043106
GILD,2021-01-27,2021-02-03,market_wide,2.089249446116998,-3.189252997243673,1.0870583640255456,2.0,-0.039319312226820266,-0.014661127066957547,-0.015661127066957548,0.02260617573845014,-0.03826730280540769
GILD,2021-02-16,2021-02-23,idiosyncratic,3.129398148906741,-0.0643984969650148,1.2703748888405697,6.0,-0.05346171477820764,-0.017283970697376083,-0.018283970697376084,-0.007400553801225285,-0.0108834168961508
GILD,2021-04-30,2021-05-07,market_wide,2.3142563685251067,-1.1251690135507777,1.89170302625315,4.0,-0.034823494854515476,0.048369193069087046,0.047369193069087046,0.0342572147777469,0.013111978291340143
GILD,2021-05-25,2021-06-02,idiosyncratic,3.1251699861723496,-0.23872652065523453,1.39117842955351,3.0,-0.044988994604401124,-0.0030199201496923234,-0.004019920149692323,0.008210105514852017,-0.012230025664544342
GILD,2021-09-28,2021-10-05,market_wide,2.1516619510472084,-2.817774769212684,0.9497694777553092,3.0,-0.02399217368956288,-0.03673012195469927,-0.03773012195469927,-0.004540575088217036,-0.033189546866482234
GILD,2021-10-18,2021-10-25,idiosyncratic,2.5685078883404473,0.2672697421085009,1.279172836233663,2.0,-0.033015384812955094,0.026859137705398828,0.025859137705398827,0.02701607539699835,-0.0011569376915995244
GILD,2021-10-29,2021-11-05,idiosyncratic,3.022000365931391,0.2408775397375824,2.6272340409764845,1.0,-0.036530938664464836,0.02219479547927583,0.02119479547927583,0.02112819718854997,6.65982907258611e-05
GILD,2022-01-06,2022-01-13,market_wide,2.232331425760521,-2.4449015682304602,1.3326797929410403,6.0,-0.027838181535305116,0.004050854431704165,0.003050854431704165,-0.0014003939754596573,0.004451248407163822
GILD,2022-01-19,2022-01-26,market_wide,3.7254324032728916,-4.779712386182051,1.0321850514855315,5.0,-0.04559921406208341,-0.025047182285906633,-0.026047182285906634,-0.026975113029300668,0.0009279307433940343
GILD,2022-02-02,2022-02-09,idiosyncratic,3.006411762552042,0.5540006604296269,1.7377423637270293,3.0,-0.04414755309172255,-0.037070731633576326,-0.03807073163357633,-0.015088969711511857,-0.02298176192206447
GILD,2022-02-10,2022-02-17,market_wide,5.163679634632881,-1.0673777348919025,1.2141502245424036,9.0,-0.10267205493978297,-0.008091857081346188,-0.009091857081346189,-0.029144455271225223,0.020052598189879034
GILD,2022-03-10,2022-03-17,market_wide,2.566393527016057,-1.6425633691697643,0.981421923168129,4.0,-0.06369243318172498,0.035127813250619866,0.034127813250619865,0.03420677041796294,-7.895716734307445e-05
GILD,2022-04-29,2022-05-06,market_wide,2.09053343065356,-3.178516399085294,1.3593119066872248,4.0,-0.052833360074282944,0.03100777289239165,0.03000777289239165,0.0022928084085909184,0.02771496448380073
GILD,2022-06-13,2022-06-21,market_wide,2.041673949874315,-5.155602711331066,1.2955245369481219,4.0,-0.054205414250523505,0.03577528779179451,0.03477528779179451,-0.0031355514884543467,0.037910839280248854
GILD,2022-08-26,2022-09-02,market_wide,2.5931040681159705,-3.520069403263168,0.9494805842585705,5.0,-0.04545447504313938,0.023248379195735636,0.022248379195735635,-0.026799101699826244,0.04904748089556188
GILD,2022-09-13,2022-09-20,market_wide,2.68133468809375,-2.8536144195788293,1.4265903361725536,1.0,-0.042787899187895224,0.0032623627534311694,0.0022623627534311694,-0.030436379458521734,0.0326987422119529
GILD,2022-09-21,2022-09-28,market_wide,2.006007308786106,-3.8528541398301637,0.9135763402402034,2.0,-0.035247616467473174,0.006771589065548866,0.005771589065548866,-0.017234786265348356,0.023006375330897222
GILD,2023-01-09,2023-01-17,idiosyncratic,2.63416494389064,-0.07290576418213034,1.1789648568398268,1.0,-0.033832877153689885,0.0036428812088873386,0.0026428812088873386,0.004642693625923844,-0.0019998124170365053
GILD,2023-01-19,2023-01-26,market_wide,2.286086805002662,-1.549825754647085,1.2052776273659396,3.0,-0.030717526654431625,0.0,-0.001,0.0406580442345823,-0.0416580442345823
GILD,2023-02-02,2023-02-09,idiosyncratic,2.2583952720501395,0.9718161815140748,1.5777261511377902,1.0,-0.031071384645672245,0.05086620966806343,0.04986620966806343,-0.02182784677577254,0.07169405644383597
GILD,2023-02-16,2023-02-24,market_wide,3.67694561847288,-2.7748859188610937,0.7493531648418262,3.0,-0.04686226315605151,-0.03273765566299858,-0.03373765566299858,-0.02582496778257526,-0.00791268788042332
GILD,2023-03-17,2023-03-24,market_wide,2.3335159416784697,-1.8785141802049246,2.922230036553706,1.0,-0.03180958937770923,0.03479507252185132,0.03379507252185132,0.015652616175597434,0.018142456346253888
GILD,2023-04-26,2023-05-03,market_wide,2.5792797198069106,-3.6206154018549817,0.8525138549103799,2.0,-0.03414046806911874,-0.05122997391010842,-0.05222997391010842,-0.0014371872476337533,-0.050792786662474665
GILD,2023-05-04,2023-05-11,market_wide,5.417145020054078,-2.855928223383772,0.6910104449433847,8.0,-0.0943482818433636,0.002292563557527272,0.0012925635575272718,0.003355666702623994,-0.002063103145096722
GILD,2023-07-27,2023-08-03,market_wide,2.226335577276313,-1.2633699044989455,0.9386431023544816,4.0,-0.051215209412950685,-0.012809057781540734,-0.013809057781540734,-0.01887724240134392,0.005068184619803184
GILD,2023-08-18,2023-08-25,market_wide,2.294294908614171,-3.26528422383943,1.2088094425769838,5.0,-0.051500031225291,0.012915184537310553,0.011915184537310552,-0.002314610281917484,0.014229794819228037
