stock,entry_date,exit_date,rank,ret,ret_net,bench_ret,excess_ret
QCOM,2021-04-14,2021-04-21,0.1,0.010686484862337586,0.009686484862337585,0.010537017306619267,-0.000850532444281682
QCOM,2021-05-06,2021-05-13,0.1,-0.06536761444185879,-0.06636761444185879,-0.013079612704459342,-0.05328800173739945
QCOM,2021-05-14,2021-05-21,0.1,0.010065131670294436,0.009065131670294435,0.004276822996190699,0.004788308674103736
QCOM,2021-08-06,2021-08-13,0.05,0.016133569962297534,0.015133569962297533,0.0004450469582450989,0.014688523004052434
QCOM,2021-08-20,2021-08-27,0.1,0.019423864570718985,0.018423864570718984,0.011363871771816081,0.007059992798902903
QCOM,2021-09-15,2021-09-22,0.1,-0.03783245195086815,-0.03883245195086815,-0.01785833540950954,-0.02097411654135861
QCOM,2021-09-23,2021-09-30,0.05,-0.036815988087112395,-0.037815988087112395,-0.024192444631039978,-0.013623543456072418
QCOM,2021-10-07,2021-10-14,0.1,0.006414181045374834,0.005414181045374834,0.013292743914391059,-0.007878562869016226
QCOM,2022-01-20,2022-01-27,0.05,-0.031831856223647814,-0.032831856223647815,-0.01799358122004857,-0.014838275003599244
QCOM,2022-02-11,2022-02-18,0.05,0.018221818852956595,0.017221818852956594,-0.017310289058740436,0.03453210791169703
QCOM,2022-03-09,2022-03-16,0.1,-0.042390682241810085,-0.043390682241810086,0.013247328790243929,-0.056638011032054014
QCOM,2022-03-17,2022-03-24,0.1,0.036838129818156595,0.035838129818156594,0.010373042654002296,0.0254650871641543
QCOM,2022-03-30,2022-04-06,0.1,-0.08806397805885635,-0.08906397805885635,-0.025422645072509686,-0.06364133298634667
QCOM,2022-04-07,2022-04-14,0.1,-0.016592295457961814,-0.017592295457961815,-0.014301614276406305,-0.0032906811815555104
QCOM,2022-05-09,2022-05-16,0.1,-0.00748582597138614,-0.00848582597138614,0.007448666747489785,-0.015934492718875926
QCOM,2022-07-06,2022-07-13,0.1,0.06752702049996429,0.06652702049996428,-0.005121932111155969,0.07164895261112025
QCOM,2022-07-28,2022-08-04,0.05,0.031137061719512804,0.030137061719512803,0.024608632885769754,0.005528428833743049
QCOM,2022-09-02,2022-09-12,0.1,0.035180657827176054,0.03418065782717605,0.04439964836518917,-0.010218990538013117
QCOM,2022-09-29,2022-10-06,0.05,0.09090932218678804,0.08990932218678804,0.038943450593485585,0.05096587159330246
QCOM,2022-10-12,2022-10-19,0.05,0.038751967660259456,0.037751967660259456,0.03531614874915001,0.002435818911109444
QCOM,2022-11-02,2022-11-09,0.1,-0.018400128275493755,-0.019400128275493755,0.021561826495394287,-0.04096195477088804
QCOM,2022-11-28,2022-12-05,0.1,0.038030481645415115,0.037030481645415114,-0.006833668741608512,0.043864150387023626
QCOM,2022-12-12,2022-12-19,0.1,-0.07095123108370804,-0.07195123108370804,-0.034604163819103695,-0.03734706726460435
QCOM,2022-12-20,2022-12-28,0.05,-0.04576280680008482,-0.04676280680008482,-0.005104614762353021,-0.0416581920377318
QCOM,2022-12-29,2023-01-06,0.05,0.050072799813388524,0.049072799813388523,0.03377749563265953,0.015295304180728997
QCOM,2023-02-10,2023-02-17,0.1,-0.009845715117619003,-0.010845715117619004,-0.006140029209518727,-0.004705685908100277
QCOM,2023-02-22,2023-03-01,0.1,0.0039169273858423725,0.0029169273858423725,-0.0038933626995323323,0.006810290085374705
QCOM,2023-03-09,2023-03-16,0.1,0.028066928629637333,0.027066928629637332,-0.0017018880118730983,0.02876881664151043
QCOM,2023-04-06,2023-04-14,0.1,-0.023089412541257626,-0.024089412541257627,0.013503505986234732,-0.03759291852749236
QCOM,2023-04-17,2023-04-24,0.05,-0.01700453131897184,-0.01800453131897184,0.0004999756049368642,-0.018504506923908703
QCOM,2023-05-04,2023-05-11,0.1,-0.0236442173806668,-0.0246442173806668,0.003355635905794241,-0.02799985328646104
QCOM,2023-05-12,2023-05-19,0.1,0.021617410024125316,0.020617410024125316,0.016527202436209754,0.004090207587915562
QCOM,2023-06-21,2023-06-28,0.05,0.015376654841662285,0.014376654841662284,0.003421181505756321,0.010955473335905963
QCOM,2023-07-05,2023-07-12,0.1,0.013233264571067105,0.012233264571067104,0.01152107380833356,0.0007121907627335444
QCOM,2023-07-20,2023-07-27,0.05,0.042494968219602525,0.041494968219602524,-0.00015638347999935576,0.04165135169960188
QCOM,2023-08-03,2023-08-10,0.1,-0.026031834888760264,-0.027031834888760264,-0.008788827201707594,-0.01824300768705267
QCOM,2023-08-11,2023-08-18,0.1,-0.03935071333709228,-0.04035071333709228,-0.019487698419351385,-0.020863014917740896
QCOM,2023-09-07,2023-09-14,0.05,0.07180446816263553,0.07080446816263553,0.01694328746534235,0.053861180697293176
QCOM,2023-09-20,2023-09-27,0.05,-0.0002745889409508928,-0.0012745889409508928,-0.0323164562960323,0.03104186735508141
QCOM,2023-11-22,2023-11-30,0.1,0.018594081984232513,0.017594081984232512,0.01464669539050445,0.002947386593728063
QCOM,2024-01-03,2024-01-10,0.05,0.012427407765488896,0.011427407765488895,0.010421143295113566,0.0010062644703753287
QCOM,2024-02-01,2024-02-08,0.1,0.05010267551731351,0.04910267551731351,0.002610804831514102,0.04649187068579941
QCOM,2024-02-23,2024-03-01,0.1,0.05815252234599666,0.05715252234599666,0.014623014153682723,0.042529508192313936
QCOM,2024-03-19,2024-03-26,0.1,0.018098706216496785,0.017098706216496784,0.013306330094262186,0.0037923761222345975
QCOM,2024-04-22,2024-04-29,0.1,0.056311522799394664,0.05531152279939466,0.013946284853422641,0.04136523794597202
QCOM,2024-06-24,2024-07-01,0.05,-0.004032975477238909,-0.005032975477238909,-0.015396566305275416,0.010363590828036506
QCOM,2024-07-17,2024-07-24,0.1,-0.05495840381339323,-0.05595840381339323,-0.02799244624878816,-0.02796595756460507
QCOM,2024-07-29,2024-08-05,0.1,-0.11581947232578149,-0.11681947232578149,-0.05033208115953214,-0.06648739116624935
QCOM,2024-08-26,2024-09-03,0.1,-0.03687532020813722,-0.03787532020813722,-0.015440429524536614,-0.022434890683600606
QCOM,2024-09-09,2024-09-16,0.1,0.03632504669567771,0.03532504669567771,0.0326981641472297,0.0026268825484480063
QCOM,2024-11-05,2024-11-12,0.05,-0.015068444230772582,-0.016068444230772583,0.03059456389956372,-0.0466630081303363
QCOM,2024-11-21,2024-11-29,0.1,0.019747786247466648,0.018747786247466647,0.01611456433708658,0.002633221910380068
QCOM,2025-02-24,2025-03-03,0.05,-0.046430987338943686,-0.047430987338943686,-0.0020292330757971655,-0.04540175426314652
QCOM,2025-04-03,2025-04-10,0.1,-0.03600641178020492,-0.03700641178020492,-0.04043260161091433,0.003426189830709414
QCOM,2025-05-01,2025-05-08,0.05,0.0731453399472406,0.0721453399472406,0.018758083186369623,0.05338725676087097
QCOM,2025-05-27,2025-06-03,0.1,0.002085723876920742,0.001085723876920742,0.009222405494413,-0.008136681617492258
QCOM,2025-06-18,2025-06-26,0.05,0.029681581451463934,0.028681581451463933,0.022207291272771323,0.00647429017869261
QCOM,2025-07-10,2025-07-17,0.1,-0.040731676624029545,-0.041731676624029546,-0.01811483449632645,-0.023616842127703097
QCOM,2025-07-31,2025-08-07,0.1,-0.00586003795682144,-0.00686003795682144,0.0010092201570390813,-0.007869258113860522
QCOM,2025-10-10,2025-10-17,0.05,0.06419691259951232,0.06319691259951232,0.029858853109609784,0.03333805948990254
QCOM,2025-11-20,2025-11-28,0.1,0.05326137349653948,0.052261373496539476,0.04947521657621401,0.0027861569203254666
QCOM,2025-12-22,2025-12-30,0.1,-0.0032717747009383125,-0.0042717747009383125,0.006050980539269668,-0.010322755240207981
QCOM,2025-12-31,2026-01-08,0.1,0.06325634028427096,0.06225634028427096,0.042390479813939175,0.019865860470331786
QCOM,2026-01-12,2026-01-20,0.1,-0.08979745759740232,-0.09079745759740232,-0.014598915425533487,-0.07619854217186883
QCOM,2026-02-09,2026-02-17,0.1,0.02663220130312638,0.02563220130312638,0.001035722138311268,0.02459647916481511
QCOM,2026-03-16,2026-03-23,0.05,-0.008037709483078581,-0.009037709483078582,-0.02268945615133744,0.013651746668258857
QCOM,2026-04-02,2026-04-10,0.1,0.009936829112539458,0.008936829112539457,0.01851491954067419,-0.009578090428134733
QCOM,2026-05-15,2026-05-22,0.05,0.18199415653340334,0.18099415653340334,0.028601104873012373,0.15239305166039097
QCOM,2026-06-05,2026-06-12,0.05,-0.01954247455407332,-0.02054247455407332,0.01119078965064313,-0.03173326420471645
QCOM,2026-06-23,2026-06-30,0.1,-0.09474358963759888,-0.09574358963759888,-0.0042253126618212455,-0.09151827697577763
QCOM,2026-07-01,2026-07-09,0.1,0.05051673699606152,0.04951673699606152,0.007633927622388459,0.04188280937367306
QCOM,2026-07-21,2026-07-28,0.1,-0.06121038501639453,-0.06221038501639453,0.009737576793579006,-0.07194796180997354
QCOM,2026-07-29,2026-08-05,0.1,0.011883319666472714,0.010883319666472713,0.030336618781802827,-0.019453299115330114
MU,2015-07-10,2015-07-17,0.05,0.14513356322678495,0.14413356322678494,0.021559467217146633,0.12257409600963831
MU,2015-07-21,2015-07-28,0.1,0.04608073120495515,0.04508073120495515,-0.008262063845950518,0.05334279505090567
MU,2015-08-05,2015-08-12,0.1,-0.038074889718838545,-0.039074889718838546,-0.007234459951042882,-0.031840429767795664
MU,2015-08-13,2015-08-20,0.05,-0.16723176422160035,-0.16823176422160036,-0.03152806567559374,-0.1367036985460066
MU,2015-08-21,2015-08-28,0.05,0.09841723114797984,0.09741723114797984,0.013207052233018768,0.08421017891496108
MU,2015-09-14,2015-09-21,0.05,-0.05688638955549019,-0.05788638955549019,0.0011586518900208453,-0.05904504144551104
MU,2015-09-22,2015-09-29,0.05,-0.06683979815711427,-0.06783979815711427,-0.02630457914880291,-0.041535219008311364
MU,2015-10-01,2015-10-08,0.1,0.26743407639815797,0.26643407639815797,0.06271581026981132,0.20371826612834665
MU,2015-10-13,2015-10-20,0.1,-0.05995594204145971,-0.06095594204145971,0.004980954984588948,-0.06593689702604866
MU,2015-10-21,2015-10-28,0.05,0.029823871335335372,0.02882387133533537,0.038031301892273994,-0.009207430556938623
MU,2015-10-29,2015-11-05,0.05,0.018507420687934317,0.017507420687934316,-0.0003113789704235481,0.017818799658357865
MU,2015-11-09,2015-11-16,0.1,-0.05997479947193485,-0.06097479947193485,-0.011899344666805756,-0.04907545480512909
MU,2015-11-27,2015-12-04,0.05,-0.003855895309312296,-0.004855895309312296,0.003565630621650717,-0.008421525930963014
MU,2015-12-07,2015-12-14,0.05,-0.08013484010063876,-0.08113484010063876,-0.03993718400642787,-0.04119765609421089
MU,2015-12-28,2016-01-05,0.05,0.04439743415143549,0.04339743415143549,-0.016346208316466493,0.05974364246790198
MU,2016-01-11,2016-01-19,0.05,-0.13806860493913786,-0.13906860493913786,-0.023052408873248442,-0.11601619606588942
MU,2016-01-20,2016-01-27,0.05,0.033830664702253266,0.032830664702253265,0.009733512865563565,0.0230971518366897
MU,2016-01-28,2016-02-04,0.1,0.13549026415516763,0.13449026415516763,0.03334589837972879,0.10114436577543884
MU,2016-02-09,2016-02-17,0.1,0.1452906942787784,0.1442906942787784,0.046032086366903924,0.09825860791187446
MU,2016-02-23,2016-03-01,0.1,0.055290645736252975,0.054290645736252974,0.03255067464442796,0.021739971091825017
MU,2016-03-08,2016-03-15,0.05,0.0178236366765665,0.0168236366765665,0.013457478400033418,0.003366158276533082
MU,2016-03-16,2016-03-23,0.1,-0.0065300892899256,-0.0075300892899256,0.01273968194461994,-0.02026977123454554
MU,2016-03-24,2016-04-01,0.05,0.05047591779222427,0.04947591779222427,0.020422059696659334,0.029053858095564933
MU,2016-04-12,2016-04-19,0.1,0.05408062655972312,0.05308062655972312,0.026456679259387883,0.026623947300335238
MU,2016-04-20,2016-04-27,0.1,0.07534880352709572,0.07434880352709572,0.008044922840215074,0.06630388068688065
MU,2016-05-04,2016-05-11,0.1,0.010000044987537482,0.009000044987537481,0.002806956186292453,0.006193088801245028
MU,2016-05-12,2016-05-19,0.05,0.045690609103856694,0.04469060910385669,-0.012488217825490366,0.05717882692934706
MU,2016-06-08,2016-06-15,0.05,-0.04451494921487542,-0.04551494921487542,-0.02430779904762559,-0.021207150167249833
MU,2016-07-01,2016-07-11,0.05,0.011199939536756798,0.010199939536756797,0.023306611868723737,-0.01310667233196694
MU,2016-08-02,2016-08-09,0.05,0.08059702930437473,0.07959702930437473,0.015337831413300362,0.06425919789107437
MU,2016-10-11,2016-10-18,0.1,0.032622068682765404,0.0316220686827654,0.002465595964148415,0.029156472718616988
MU,2016-11-02,2016-11-09,0.05,0.03117513362932578,0.03017513362932578,0.03270416950009403,-0.002529035870768248
MU,2016-12-01,2016-12-08,0.1,0.1179655095476817,0.1169655095476817,0.028994122016551938,0.08797138753112976
MU,2016-12-14,2016-12-21,0.1,0.02797187766236009,0.02697187766236009,-0.000956498825300911,0.027928376487661
MU,2016-12-30,2017-01-09,0.05,0.019160390414236783,0.018160390414236782,0.01762900875200124,0.0005313816622355416
MU,2017-01-17,2017-01-24,0.1,0.05105810070904737,0.05005810070904737,-0.003356793679747616,0.05341489438879499
MU,2017-02-08,2017-02-15,0.1,-0.049153188299959294,-0.050153188299959295,0.02291455982738233,-0.07306774812734163
MU,2017-02-16,2017-02-24,0.05,0.011314381891201153,0.010314381891201152,0.007590515796992214,0.0027238660942089377
MU,2017-04-10,2017-04-18,0.05,-0.01808984132432012,-0.019089841324320123,-0.009411260078495798,-0.009678581245824325
MU,2017-04-24,2017-05-01,0.05,0.06473476888185159,0.06373476888185159,0.010304762335797246,0.05343000654605434
MU,2017-05-17,2017-05-24,0.05,0.07370379549256678,0.07270379549256678,0.019503579787645053,0.05320021570492173
MU,2017-06-14,2017-06-21,0.1,0.030586023194169476,0.029586023194169475,-0.007279567774582496,0.03686559096875197
MU,2017-06-30,2017-07-10,0.05,0.02143324053238027,0.02043324053238027,-0.0033241622391865233,0.023757402771566793
MU,2017-07-25,2017-08-01,0.05,-0.052173898253460416,-0.05317389825346042,0.0032602731646187433,-0.05643417141807916
MU,2017-08-02,2017-08-09,0.05,-0.0017464445134772744,-0.0027464445134772744,-0.0029906867304995144,0.00024424221702224
MU,2017-09-26,2017-10-03,0.05,0.18109956039101283,0.18009956039101283,0.01986636113826501,0.16023319925274782
MU,2017-10-17,2017-10-24,0.05,0.029958116169033877,0.028958116169033876,0.02024576675541656,0.008712349413617315
MU,2017-11-29,2017-12-06,0.05,-0.04938280217356095,-0.05038280217356095,-0.00159958119704251,-0.04878322097651844
MU,2017-12-14,2017-12-21,0.1,0.051610280195097946,0.050610280195097945,0.012868697681879926,0.03774158251321802
MU,2017-12-26,2018-01-03,0.05,0.06461549088110496,0.06361549088110496,0.020379695884757965,0.043235794996347
