stock,entry_date,exit_date,ret,ret_net,exit_reason,bench_ret,excess_ret
GOOG,2021-12-03,2021-12-10,0.04318372035314666,0.04218372035314666,hold_days,0.03479373711407763,0.007389983239069031
GOOG,2023-12-06,2023-12-13,0.01932616605745241,0.01832616605745241,hold_days,0.03483359329814317,-0.016507427240690764
MO,2021-08-06,2021-08-13,0.026399300747148136,0.025399300747148135,hold_days,0.008331851317268324,0.01706744942987981
MO,2021-09-16,2021-09-20,-0.013322645765445396,-0.014322645765445396,market_dd,-0.02192133695615439,0.007598691190708995
MO,2023-02-24,2023-03-03,-0.013568075587488182,-0.014568075587488183,hold_days,0.016080885055084426,-0.03064896064257261
MO,2024-12-13,2024-12-18,-0.0304078726073278,-0.0314078726073278,market_dd,-0.03037449697857908,-0.0010333756287487228
AMZN,2016-01-20,2016-01-27,0.02025291609820723,0.01925291609820723,hold_days,0.011509117326939489,0.00774379877126774
AMZN,2017-08-02,2017-08-09,-0.013937287568558165,-0.014937287568558166,hold_days,0.0017883304749422013,-0.016725618043500368
AMZN,2019-08-27,2019-09-04,0.022016867872030943,0.021016867872030942,hold_days,0.02578541750280028,-0.0047685496307693365
AMZN,2019-09-18,2019-09-24,-0.041734104861544497,-0.0427341048615445,market_dd,-0.013693708040353747,-0.02904039682119075
AMZN,2019-10-01,2019-10-02,-0.01291737598591125,-0.013917375985911251,market_dd,-0.018725831939051862,0.004808455953140611
AMZN,2022-10-13,2022-10-14,-0.05003107895219994,-0.05103107895219994,market_dd,-0.02118812876719156,-0.029842950185008377
AMZN,2025-10-14,2025-10-21,0.026064048271901008,0.025064048271901007,hold_days,0.017272869537850788,0.007791178734050219
AXP,2024-05-28,2024-05-30,-0.00012633859930888391,-0.001126338599308884,market_dd,-0.011122845073439858,0.009996506474130973
AXP,2025-02-27,2025-03-04,-0.03647185889257809,-0.03747185889257809,market_dd,-0.012865593154451127,-0.024606265738126964
AXP,2025-08-05,2025-08-12,0.022148021279701835,0.021148021279701834,hold_days,0.01679979230054962,0.004348228979152213
AXP,2026-09-03,2026-09-09,-0.024316352413897624,-0.025316352413897625,market_dd,-0.02051587188660675,-0.0048004805272908735
AEP,2021-11-08,2021-11-10,0.01275233797761266,0.011752337977612659,market_dd,-0.006063518094439169,0.017815856072051828
AEP,2022-07-07,2022-07-11,0.005183963429514993,0.004183963429514993,market_dd,-0.011090954334962877,0.015274917764477869
AMGN,2019-01-16,2019-01-24,0.0104581714865708,0.009458171486570799,hold_days,0.012372393213841315,-0.002914221727270516
AMGN,2021-03-02,2021-03-03,-0.007753865570004015,-0.008753865570004016,market_dd,-0.008807218336302491,5.335276629847563e-05
AMGN,2021-05-21,2021-05-28,-0.052069807074136776,-0.05306980707413678,hold_days,0.008422099263239335,-0.06149190633737611
AMGN,2025-05-08,2025-05-15,-0.0013231722459550177,-0.0023231722459550177,hold_days,0.03324567942109602,-0.03556885166705104
AMGN,2025-09-02,2025-09-09,-0.024222928069626337,-0.025222928069626338,hold_days,0.0057030454133919495,-0.030925973483018288
AMGN,2026-03-24,2026-03-26,0.013575339410114129,0.012575339410114128,market_dd,-0.003374553185758411,0.01594989259587254
AAPL,2018-06-27,2018-07-05,0.006733196156406329,0.005733196156406329,hold_days,0.012828005252854213,-0.007094809096447884
AAPL,2019-08-27,2019-09-04,0.02463731476315134,0.02363731476315134,hold_days,0.02578541750280028,-0.0021481027396489383
AAPL,2020-02-20,2020-02-21,-0.02263509960295107,-0.02363509960295107,market_dd,-0.0077635857426661126,-0.015871513860284958
AAPL,2020-12-11,2020-12-18,0.034719357716759935,0.033719357716759935,hold_days,0.009404563985940362,0.024314793730819573
AAPL,2022-12-09,2022-12-16,-0.053812756603687006,-0.05481275660368701,market_dd,-0.01725069837281279,-0.03756205823087422
AAPL,2023-09-15,2023-09-20,0.002742833652295218,0.001742833652295218,market_dd,-0.008903864751997226,0.010646698404292443
AMAT,2015-08-06,2015-08-13,0.01186921306232458,0.010869213062324579,hold_days,-0.0013604760055275777,0.012229689067852156
AMAT,2018-12-11,2018-12-14,-0.04027019411265376,-0.04127019411265376,market_dd,-0.012015005306759141,-0.029255188805894616
