stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,market_dist_from_low_20d,market_dist_from_low_60d,market_dist_from_low_120d,market_vol_5d,market_vol_10d,market_vol_20d,market_vol_ratio_5_60
LMT,5,0.01,2017-12-06,2017-12-13,247.48614501953125,252.10321044921875,hold_days,0.01865585416639437,0.01765585416639437,1,2017-12-05,0.016238919728007062,0.0014169344383873073,0.034535462222521095,0.09565855877472791,0.1469158882776466,0.00585878296053255,0.004641793303969101,0.004627305894409569,1.667513012511538
LMT,5,0.01,2018-04-09,2018-04-16,267.9742431640625,275.7841796875,hold_days,0.029144355185867665,0.028144355185867664,3,2018-04-06,0.027322585889070217,0.0008217692967974477,0.015522450329051014,0.025259901876202515,0.07691135661836813,0.01771267054674372,0.01840459946030833,0.015025698193430512,1.2462857085731496
LMT,5,0.01,2018-06-01,2018-06-08,254.17691040039062,258.7365417480469,hold_days,0.017938810179389364,0.016938810179389363,1,2018-05-31,0.020092093899147567,-0.003153283719758204,0.0384741135539903,0.05658637763251641,0.06671757527786956,0.011755963428310758,0.008449483540969261,0.0074280317312384,1.0730629521142705
LMT,5,0.01,2018-06-28,2018-07-06,237.0059356689453,240.17678833007812,hold_days,0.01337879008043874,0.01237879008043874,1,2018-06-27,0.014325157789948806,-0.0019463677095100662,0.008489669312667704,0.03168241769479139,0.05233054269903007,0.006466679700931839,0.004690325661103563,0.005698723166359511,0.8288121871144154
LMT,5,0.01,2019-03-11,2019-03-18,249.47335815429688,243.9332275390625,hold_days,-0.022207303642450937,-0.023207303642450938,3,2019-03-08,0.01611492610762144,-0.03932222975007238,0.03879022572342154,0.2001538164276493,0.2001538164276493,0.0026875339524139934,0.004025709236544031,0.0054498165675284545,0.213815969861564
LMT,5,0.01,2019-03-28,2019-04-04,242.2612762451172,245.5969696044922,hold_days,0.013768991111893447,0.012768991111893446,1,2019-03-27,0.02387913831618782,-0.011110147204294374,0.024066516889939875,0.15845816448148778,0.2130112980534011,0.01174078327160745,0.008745411961620804,0.00727976365022321,1.3341202822958702
LMT,5,0.01,2019-04-29,2019-05-06,269.2985534667969,275.1419372558594,hold_days,0.021698533890502247,0.020698533890502246,3,2019-04-26,-0.009616294656000002,0.030314828546502248,0.03890403277424205,0.09970077562634048,0.2693595257237821,0.006503263453196054,0.004288455717638252,0.005158853581877585,1.102575557496536
LMT,5,0.01,2019-05-17,2019-05-24,277.0023498535156,277.64984130859375,hold_days,0.0023374944487675187,0.0013374944487675186,2,2019-05-15,-0.009414283905640808,0.010751778354408326,0.018785608759141995,0.03776275951720201,0.22864796721362132,0.016684881606451322,0.011724581472809657,0.009026287912470706,2.3373902766647676
LMT,5,0.01,2019-07-19,2019-07-26,294.44354248046875,304.7543640136719,hold_days,0.035017991722087416,0.034017991722087415,1,2019-07-18,0.01332054302479535,0.020697448697292065,0.025763901941460807,0.09256166982187822,0.14684244969055948,0.0051874643682812615,0.00433733239078195,0.0051389672072251315,0.6770297087949158
LMT,5,0.01,2019-08-26,2019-09-03,313.7125549316406,319.1435241699219,hold_days,0.017311928237824903,0.016311928237824902,3,2019-08-23,0.009803812128744704,0.0065081161090801976,0.014120692760610717,0.051254954270419,0.051254954270419,0.01544642480558456,0.017164143289343823,0.014846601474315841,1.5509349815528648
