stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,market_depth_10d,weight,period
BMY,5,0.01,2018-03-07,2018-03-14,48.381500244140625,48.76942443847656,hold_days,0.008018027394322447,0.007018027394322447,1,2018-03-06,0.010229804414928934,-0.003211777020606487,0.012542663476004235,0.7993173843839323,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2018-03-27,2018-04-04,45.680625915527344,46.097843170166016,hold_days,0.009133352406558215,0.008133352406558214,4,2018-03-23,0.01576496656776749,-0.007631614161209277,0.0561019617749774,0.19999999999999996,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2018-06-21,2018-06-28,39.73341369628906,40.7352294921875,hold_days,0.025213433800479246,0.024213433800479245,2,2018-06-19,-0.01680619037836817,0.041019624178847414,0.014979498116937901,0.7603280301289936,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2018-08-13,2018-08-20,44.08699035644531,44.7547492980957,hold_days,0.015146394350159298,0.014146394350159297,3,2018-08-10,0.012310886803454713,0.0018355075467045845,0.011153001129327999,0.821551981930752,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2018-12-18,2018-12-26,38.50104522705078,37.35855865478515,hold_days,-0.029674170286237422,-0.030674170286237423,1,2018-12-17,-0.02919389589856447,-0.001480274387672953,0.0790486440004938,0.19999999999999996,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2019-01-30,2019-02-01,36.7724494934082,37.54764175415039,resistance,0.02108078932520252,0.02008078932520252,2,2019-01-28,0.013277727441885157,0.006803061883317363,-0.007965910198462399,1.0,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2019-05-14,2019-05-21,34.85710525512695,36.011165618896484,hold_days,0.033108324840020575,0.032108324840020575,1,2019-05-13,0.00581556393183047,0.026292760908190105,0.03739301156305499,0.4017118149911202,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2019-08-06,2019-08-13,34.997459411621094,35.61024856567383,hold_days,0.017509532530502803,0.016509532530502802,1,2019-08-05,0.017305326103385754,-0.0007957935728829524,0.048633870638994804,0.22185806977608313,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2019-11-26,2019-12-04,43.81892776489258,45.49506378173828,hold_days,0.03825141559462364,0.03725141559462364,1,2019-11-25,-0.008629795742165935,0.045881211336789574,-0.002315946458064383,1.0,"(2017-12-13 00:00:00, 2020-06-01 00:00:00]"
BMY,5,0.01,2020-07-27,2020-08-03,45.876163482666016,46.70597457885742,hold_days,0.01808806650767436,0.01708806650767436,3,2020-07-24,0.00700202281962814,0.01008604368804622,0.00892718672112766,0.8571650124619574,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2021-01-05,2021-01-12,49.39889144897461,52.512901306152344,hold_days,0.06303805137802088,0.062038051378020875,1,2021-01-04,0.027955814704353044,0.03408223667366783,0.007647403688442102,0.8776415409849263,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2021-06-24,2021-07-01,53.26221466064453,54.23419570922851,hold_days,0.018248979220576222,0.01724897922057622,1,2021-06-23,0.013302502555701645,0.003946476664874576,0.00026057993923648604,0.9958307209722163,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2021-10-13,2021-10-20,46.88053512573242,47.70198440551758,hold_days,0.017522182235805372,0.01652218223580537,1,2021-10-12,0.038204146132040595,-0.021681963896235223,0.005380430814106803,0.9139131069742912,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2022-06-02,2022-06-09,62.66619873046875,63.42583465576172,hold_days,0.012121940387037178,0.011121940387037177,1,2022-06-01,-0.03914222535245471,0.050264165739491884,-0.00457998962515065,1.0,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2022-08-30,2022-09-07,56.486202239990234,57.79750442504883,hold_days,0.023214557415053738,0.022214557415053737,1,2022-08-29,0.006505077206286236,0.0157094802087675,0.07372873056272679,0.19999999999999996,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2022-10-12,2022-10-19,58.678077697753906,60.25342559814453,hold_days,0.026847299062950247,0.025847299062950246,2,2022-10-10,0.03519987941236957,-0.009352580349419326,0.05776800513559237,0.19999999999999996,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2023-01-10,2023-01-18,61.16548538208008,61.583778381347656,hold_days,0.0068387097176561,0.0058387097176560996,1,2023-01-09,-0.013517194110672315,0.019355903828328413,-0.0024655628679668244,1.0,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2023-05-04,2023-05-11,57.51177215576172,59.45695495605469,hold_days,0.033822341537741885,0.032822341537741884,1,2023-05-03,0.00949803655944037,0.023324304978301513,0.027708057210463054,0.5566710846325911,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2023-06-15,2023-06-23,55.66127395629883,55.97972869873047,hold_days,0.005721298126982743,0.004721298126982743,1,2023-06-14,-0.021604030896007154,0.026325329022989896,-0.013987213992770298,1.0,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2023-07-03,2023-07-11,55.454708099365234,54.52328109741211,hold_days,-0.0167961753632202,-0.0177961753632202,3,2023-06-30,-0.0022046648796695267,-0.015591510483550675,-0.002941191690597931,1.0,"(2020-06-01 00:00:00, 2023-07-12 00:00:00]"
BMY,5,0.01,2023-08-25,2023-09-01,53.906768798828125,53.85466384887695,hold_days,-0.0009665752763928781,-0.001966575276392878,1,2023-08-24,0.02006326168826189,-0.02202983696465477,0.021443827088365394,0.6568987665861536,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
BMY,5,0.01,2024-07-05,2024-07-12,36.142459869384766,36.87150192260742,hold_days,0.020171345720721323,0.019171345720721322,2,2024-07-03,0.016418778269497114,0.002752567451224208,-0.0018538734571476923,1.0,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
BMY,5,0.01,2025-01-29,2025-02-05,55.01572036743164,55.63063049316406,hold_days,0.011176989442756469,0.010176989442756468,1,2025-01-28,0.0032793123784891076,0.00689767706426736,0.0084467880458092,0.8648513912670528,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
BMY,5,0.01,2026-01-21,2026-01-28,53.341651916503906,53.45909881591797,hold_days,0.0022017859438980825,0.0012017859438980824,1,2026-01-20,-0.00028873141021301674,0.0014905173541110992,-0.0006536781958090314,1.0,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
BMY,5,0.01,2026-02-19,2026-02-26,59.01837921142578,59.80137252807617,hold_days,0.013266940351672751,0.01226694035167275,1,2026-02-18,0.005146510168397844,0.007120430183274906,0.006702544359290606,0.8927592902513503,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
GILD,5,0.01,2016-03-24,2016-04-01,63.72755432128906,65.68152618408203,hold_days,0.030661334545208252,0.02966133454520825,1,2016-03-23,0.021468730865217278,0.008192603679990973,0.007883752983495255,0.873859952264076,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
GILD,5,0.01,2016-05-20,2016-05-27,57.67023849487305,59.88939666748047,hold_days,0.038480128234682276,0.037480128234682275,1,2016-05-19,0.025603330833075644,0.011876797401606631,0.009596996639662054,0.8464480537654071,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
GILD,5,0.01,2016-10-03,2016-10-10,55.0913200378418,53.297996520996094,hold_days,-0.032551834220234444,-0.033551834220234444,4,2016-09-29,-0.0035791532095909018,-0.029972681010643543,0.004034457217453004,0.9354486845207519,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
