stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,stock_mom_5d,market_mom_5d,rel_mom_5d
MMM,5,0.01,2023-07-07,2023-07-14,73.80839538574219,77.60919952392578,hold_days,0.051495553023739093,0.05049555302373909,1,2023-07-06,0.018752578303975254,0.03174297471976384,-0.022927930892175152,0.002695175724261034,-0.025623106616436186
MMM,5,0.01,2023-09-15,2023-09-22,77.81507110595703,74.7197265625,hold_days,-0.03977821390463354,-0.04077821390463354,2,2023-09-13,-0.027211366394401693,-0.01356684751023185,-0.034261345102393204,0.016665440915895724,-0.05092678601828893
MMM,5,0.01,2023-11-10,2023-11-17,71.46266174316406,74.56596374511719,hold_days,0.04342550258072331,0.04242550258072331,1,2023-11-09,0.023739160349847133,0.018686342230876174,-0.006608208501837409,-0.00047488860923516896,-0.00613331989260224
MMM,5,0.01,2024-02-16,2024-02-26,72.55255126953125,73.00575256347656,hold_days,0.006246524567574241,0.005246524567574241,2,2024-02-14,0.00775066718240458,-0.0025041426148303394,0.007665477582792901,0.004670127788909628,0.002995349793883273
MMM,5,0.01,2024-03-06,2024-03-13,73.56231689453125,82.74568176269531,hold_days,0.12483789602943807,0.12383789602943807,2,2024-03-04,0.015034142541783702,0.10880375348765436,0.004225268797809489,-0.0008270821586512378,0.005052350956460727
MMM,5,0.01,2024-08-09,2024-08-16,118.89769744873047,121.65542602539062,hold_days,0.023194129372011707,0.022194129372011706,2,2024-08-07,0.02931934517721646,-0.007125215805204754,-0.010595404409738052,-0.02237314200142415,0.0117777375916861
MMM,5,0.01,2025-05-07,2025-05-14,134.84066772460938,143.82745361328125,hold_days,0.06664744427864999,0.06564744427864999,1,2025-05-06,0.028347924652615486,0.037299519626034505,-0.0026015989170491416,0.0037548841123464793,-0.006356483029395621
MMM,5,0.01,2025-06-04,2025-06-11,143.486083984375,143.84768676757812,hold_days,0.0025201244131973777,0.0015201244131973777,2,2025-06-02,0.019454809092293912,-0.017934684679096535,-0.00909770223280748,0.004572830186275301,-0.013670532419082781
MMM,5,0.01,2026-06-18,2026-06-26,159.9000244140625,163.29515075683594,hold_days,0.02123280690678153,0.02023280690678153,1,2026-06-17,0.014094070219402344,0.006138736687379187,0.015173649098702224,0.0060915243244168416,0.009082124774285383
MMM,5,0.01,2026-07-09,2026-07-16,154.66294860839844,161.06492614746094,hold_days,0.041393091213281386,0.040393091213281385,1,2026-07-08,0.011278930997386638,0.029114160215894747,-0.04453099694586282,0.009422246889848163,-0.053953243835710984
ABT,5,0.01,2015-09-11,2015-09-18,35.09717559814453,35.032493591308594,hold_days,-0.0018429405139755994,-0.0028429405139755995,1,2015-09-10,0.0019340760691661796,-0.004777016583141779,-0.025316573146679455,-0.0001403533886706887,-0.025176219758008767
ABT,5,0.01,2016-01-15,2016-01-25,33.17515182495117,32.45500946044922,hold_days,-0.021707281651694887,-0.02270728165169489,2,2016-01-13,-0.00845693590884522,-0.014250345742849668,-0.004347791717954186,-0.009332357370236521,0.004984565652282336
ABT,5,0.01,2016-03-03,2016-03-10,31.767606735229492,31.939464569091797,hold_days,0.005409845170102789,0.004409845170102789,3,2016-02-29,-0.0004282935628910911,0.0048381387329938805,0.0035710849855199456,0.033061300679885,-0.029490215694365052
ABT,5,0.01,2016-03-16,2016-03-23,32.88053894042969,33.37152862548828,hold_days,0.014932531548467853,0.013932531548467852,1,2016-03-15,0.006263988300511558,0.007668543247956294,0.018636942828278213,0.0203126335483772,-0.001675690720098988
ABT,5,0.01,2016-06-28,2016-07-06,30.92429542541504,33.6165771484375,hold_days,0.08706040625940403,0.08606040625940403,1,2016-06-27,0.047137049895216165,0.03892335636418787,-0.021192190508545816,-0.042188579980560026,0.02099638947201421
ABT,5,0.01,2016-09-14,2016-09-21,33.80707931518555,34.72660827636719,hold_days,0.027199302034015327,0.026199302034015326,1,2016-09-13,0.018217191541662014,0.007982110492353311,-0.03605355518344133,-0.026972911373694397,-0.009080643809746936
ABT,5,0.01,2017-02-09,2017-02-16,35.69330978393555,37.086143493652344,hold_days,0.039022262663454876,0.038022262663454875,1,2017-02-08,0.021118548512591095,0.01690371415086378,0.0016534915415233886,0.010322310330329154,-0.008668818788805766
ABT,5,0.01,2017-03-08,2017-03-15,38.059452056884766,38.025882720947266,hold_days,-0.0008820236268070047,-0.0018820236268070048,1,2017-03-07,0.00841885910312512,-0.010300882729932126,-0.001774802583720425,0.004007925282098368,-0.005782727865818793
ABT,5,0.01,2017-05-19,2017-05-26,36.43503189086914,37.74350357055664,hold_days,0.035912461490541725,0.034912461490541724,1,2017-05-18,0.017212713714128025,0.0176997477764137,-0.020063502124224142,-0.010176509908082165,-0.009886992216141977
ABT,5,0.01,2017-07-07,2017-07-14,40.89232635498047,41.5175895690918,resistance,0.015290477941594993,0.014290477941594992,1,2017-07-06,0.011677959713066288,0.002612518228528704,-0.011138895796740877,-0.005699703743853757,-0.005439192052887121
ABT,5,0.01,2017-08-11,2017-08-18,41.203521728515625,41.3732795715332,hold_days,0.004119983824103501,0.0031199838241035014,1,2017-08-10,-0.008828225250053778,0.011948209074157279,-0.022376184042372294,-0.010021823730596346,-0.012354360311775947
ABT,5,0.01,2017-11-02,2017-11-09,46.378108978271484,47.299354553222656,hold_days,0.019863802023122323,0.018863802023122322,1,2017-11-01,0.0034377202709645616,0.015426081752157761,-0.02685154784107846,0.0071571742689164886,-0.03400872210999495
ABT,5,0.01,2018-06-28,2018-07-06,52.76658248901367,53.533077239990234,hold_days,0.014526139742632616,0.013526139742632615,1,2018-06-27,0.014325145094730152,-0.0007990053520975371,-0.02655305228693594,-0.024421316975270946,-0.002131735311664995
ABT,5,0.01,2018-08-14,2018-08-21,55.04538345336914,56.01426696777344,hold_days,0.017601539922509124,0.016601539922509123,1,2018-08-13,0.011654451704707247,0.004947088217801876,-0.02774363693926374,-0.011712484274439938,-0.0160311526648238
ABT,5,0.01,2018-09-07,2018-09-14,57.27727508544922,59.189125061035156,hold_days,0.03337885702023602,0.03237885702023602,1,2018-09-06,0.014068790632253636,0.018310066387982382,-0.019365473345648865,-0.009649617213895345,-0.00971585613175352
ABT,5,0.01,2018-10-26,2018-11-02,58.190345764160156,60.97001266479492,hold_days,0.0477685235262304,0.0467685235262304,2,2018-10-24,0.024792660678499168,0.02197586284773123,-0.006897601577920409,-0.025596601945857556,0.018699000367937146
ABT,5,0.01,2018-11-26,2018-12-03,59.77126693725586,64.51405334472656,hold_days,0.07934893554204536,0.07834893554204536,3,2018-11-23,0.05396117197357109,0.024387763568474274,-0.03704230311371315,-0.03505321192292821,-0.001989091190784942
ABT,5,0.01,2019-05-31,2019-06-07,66.70826721191406,70.74773406982422,hold_days,0.06055421654227455,0.05955421654227455,2,2019-05-29,0.04438328064410535,0.015170935898169202,0.0034092525698983245,-0.024120625179687716,0.02752987774958604
ABT,5,0.01,2019-11-25,2019-12-03,74.60881805419922,74.49403381347656,hold_days,-0.001538480888938265,-0.002538480888938265,4,2019-11-21,-0.015293181714650661,0.012754700825712395,-0.022984318362828438,-0.005761541270247639,-0.0172227770925808
ABT,5,0.01,2020-01-14,2020-01-22,76.0342025756836,81.46141052246094,hold_days,0.07137850813093172,0.07037850813093172,1,2020-01-13,0.007994635067550826,0.06238387306338089,-0.014130137843044066,0.008481532343480813,-0.02261167018652488
ABT,5,0.01,2020-02-07,2020-02-14,77.9230728149414,79.51045227050781,hold_days,0.020371109585684,0.019371109585684,4,2020-02-03,0.012079570212028878,0.00729153937365512,0.003476825729127997,0.016802607768307665,-0.013325782039179668
ABT,5,0.01,2020-08-14,2020-08-21,89.39018249511719,91.54468536376953,hold_days,0.02410223145891921,0.02310223145891921,3,2020-08-11,-0.004896704084973225,0.027998935543892434,-0.006388108007369775,0.016775238777346324,-0.0231633467847161
ABT,5,0.01,2020-10-19,2020-10-26,96.90872955322266,97.76983642578125,hold_days,0.008885751330437897,0.007885751330437896,4,2020-10-15,-0.009937739358006348,0.017823490688444243,0.0035162135910240533,0.0010098805391205445,0.0025063330519035087
ABT,5,0.01,2021-07-01,2021-07-06,105.8998794555664,107.40033721923828,resistance,0.014168644680105036,0.013168644680105035,1,2021-06-30,-0.00236993336003688,0.015538578040141915,0.04592206962257195,0.015728635313545514,0.030193434309026435
