stock,hold_days,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,bench_ret,excess_ret
IBM,5,2015-08-28,2015-09-04,89.83399963378906,87.23575592041016,hold_days,-0.02892272106296867,-0.02992272106296867,-0.033455351250263554,0.003532630187294883
IBM,5,2015-08-31,2015-09-08,89.77935028076172,89.37867736816406,hold_days,-0.004462862688854985,-0.005462862688854985,-0.004191708844226261,-0.0012711538446287243
IBM,5,2015-09-01,2015-09-09,86.61652374267578,88.0552978515625,hold_days,0.01661085029412046,0.01561085029412046,0.012291644189424744,0.0033192061046957155
IBM,5,2015-09-08,2015-09-15,89.37867736816406,89.56079864501953,hold_days,0.002037636740866988,0.0010376367408669882,0.005301229811793151,-0.004263593070926163
IBM,5,2015-09-15,2015-09-22,89.56079864501953,87.67888641357422,hold_days,-0.021012678090381987,-0.022012678090381987,-0.0160905405913625,-0.005922137499019486
IBM,5,2015-09-25,2015-10-02,88.2798843383789,87.76995849609375,hold_days,-0.005776240489063111,-0.006776240489063111,0.011871185228873093,-0.018647425717936206
IBM,5,2015-09-30,2015-10-07,88.0066909790039,91.1148910522461,hold_days,0.03531777003164138,0.03431777003164138,0.04195693981120141,-0.007639169779560029
IBM,5,2015-10-05,2015-10-12,90.47748565673828,91.7523193359375,hold_days,0.014090065279176667,0.013090065279176666,0.017740738819433277,-0.004650673540256611
IBM,5,2015-10-08,2015-10-15,92.44439697265625,91.1148910522461,hold_days,-0.014381682005058738,-0.015381682005058739,0.006859651105572295,-0.022241333110631034
IBM,5,2015-10-13,2015-10-20,90.82958221435547,85.37809753417969,hold_days,-0.06001882368357059,-0.06101882368357059,0.014040281529544618,-0.07505910521311521
IBM,5,2015-10-14,2015-10-21,91.06632232666016,85.5480728149414,hold_days,-0.06059594118585865,-0.06159594118585865,0.014016661172173706,-0.07561260235803235
IBM,5,2015-10-30,2015-11-06,85.03816223144531,84.71443939208984,hold_days,-0.0038067948655146067,-0.004806794865514607,0.013857753433841324,-0.018664548299355932
IBM,5,2015-11-11,2015-11-18,82.7352066040039,83.22543334960938,hold_days,0.005925249548863087,0.004925249548863087,0.005809592519991247,-0.0008843429711281594
IBM,5,2015-11-13,2015-11-20,80.73149108886719,84.86764526367188,hold_days,0.051233466879135436,0.050233466879135436,0.03672225509758209,0.013511211781553345
IBM,5,2015-11-18,2015-11-25,83.22543334960938,84.56126403808594,hold_days,0.016050750770681743,0.015050750770681742,0.006154599436632768,0.008896151334048974
IBM,5,2015-11-27,2015-12-04,84.84315490722656,86.05030059814453,hold_days,0.014227967974999922,0.013227967974999921,0.0009140519158274962,0.012313916059172425
IBM,5,2015-12-04,2015-12-11,86.05030059814453,82.45951843261719,hold_days,-0.041728874165080754,-0.042728874165080755,-0.03847563911849261,-0.004253235046588144
JNJ,5,2015-05-29,2015-06-05,73.60431671142578,72.46504211425781,hold_days,-0.015478366596821003,-0.016478366596821004,-0.0061542661540161525,-0.010324100442804851
JNJ,5,2015-06-09,2015-06-16,72.18572998046875,72.2959976196289,hold_days,0.0015275545345319053,0.0005275545345319052,0.006053307305426081,-0.005525752770894176
JNJ,5,2015-06-16,2015-06-23,72.2959976196289,73.33972930908203,hold_days,0.014436922150856901,0.0134369221508569,0.017310720899022858,-0.0038737987481659575
JNJ,5,2015-06-18,2015-06-25,73.76602172851562,72.85462951660156,hold_days,-0.012355176415346114,-0.013355176415346115,-0.006302902887690642,-0.007052273527655473
JNJ,5,2015-06-22,2015-06-29,73.56758117675781,71.79619598388672,hold_days,-0.02407833946062543,-0.02507833946062543,-0.0275775253584849,0.0024991858978594683
JNJ,5,2015-06-25,2015-07-02,72.85462951660156,72.35479736328125,hold_days,-0.006860677991731623,-0.007860677991731624,-0.010670319310669418,0.0028096413189377945
JNJ,5,2015-06-29,2015-07-07,71.79619598388672,72.70759582519531,hold_days,0.012694263655878668,0.011694263655878667,0.011956011140812128,-0.0002617474849334611
JNJ,5,2015-07-02,2015-07-10,72.35479736328125,73.15596771240234,hold_days,0.011072802057596087,0.010072802057596086,0.0008825086949764138,0.009190293362619673
JNJ,5,2015-07-06,2015-07-13,72.17841339111328,73.69989776611328,hold_days,0.021079493210186317,0.020079493210186317,0.016982377740168753,0.003097115470017564
JNJ,5,2015-07-08,2015-07-15,71.86233520507812,73.81014251708984,hold_days,0.027104703826464016,0.026104703826464015,0.029898345006779348,-0.0037936411803153325
JNJ,5,2015-07-13,2015-07-20,73.69989776611328,73.77337646484375,hold_days,0.0009969986520694807,-3.0013479305193366e-06,0.021265137691535152,-0.021268139039465672
JNJ,5,2015-07-15,2015-07-22,73.81014251708984,73.63374328613281,hold_days,-0.002389905031225048,-0.003389905031225048,0.009966552920396277,-0.013356457951621326
JNJ,5,2015-07-27,2015-08-03,72.2372055053711,73.51612091064453,hold_days,0.017704386490675406,0.016704386490675405,0.012626769352039657,0.004077617138635747
JNJ,5,2015-07-29,2015-08-05,73.3029556274414,73.88365936279297,hold_days,0.007921968908088273,0.006921968908088273,-0.0038384878524362342,0.010760456760524506
JNJ,5,2015-08-04,2015-08-11,73.35441589355469,72.77375793457031,hold_days,-0.007915787371642002,-0.008915787371642003,0.0005078507600282389,-0.009423638131670242
JNJ,5,2015-08-12,2015-08-19,72.55326843261719,72.99424743652344,hold_days,0.006078003285486799,0.005078003285486799,-0.004129150359719946,0.009207153645206745
JNJ,5,2015-08-20,2015-08-27,72.61206817626953,71.26409912109375,hold_days,-0.018563981016261888,-0.01956398101626189,-0.023591936490220178,0.004027955473958289
JNJ,5,2015-08-21,2015-08-28,70.77527618408203,70.48640441894531,hold_days,-0.0040815349753687835,-0.0050815349753687835,0.010260098338653822,-0.015341633314022607
JNJ,5,2015-08-28,2015-09-04,70.48640441894531,67.62754821777344,hold_days,-0.040558973389816844,-0.041558973389816845,-0.033455351250263554,-0.00810362213955329
JNJ,5,2015-09-01,2015-09-09,68.20525360107422,68.30155944824219,hold_days,0.0014120004264077668,0.0004120004264077668,0.012291644189424744,-0.011879643763016978
JNJ,5,2015-09-11,2015-09-18,68.82737731933594,69.16808319091797,hold_days,0.004950150432164069,0.003950150432164069,0.0019340726477059533,0.0020160777844581155
JNJ,5,2015-09-18,2015-09-25,69.16808319091797,67.39798736572266,hold_days,-0.025591222765411703,-0.026591222765411704,-0.014009707277178984,-0.01258151548823272
JNJ,5,2015-09-30,2015-10-07,69.13848114013672,70.34571075439453,hold_days,0.017461037534378,0.016461037534377998,0.04195693981120141,-0.025495902276823412
JNJ,5,2015-10-12,2015-10-19,71.0937271118164,72.5379867553711,hold_days,0.020314867460572872,0.01931486746057287,0.008963199433135394,0.010351668027437477
JNJ,5,2015-10-14,2015-10-21,70.01239776611328,72.30840301513672,hold_days,0.03279426676248942,0.03179426676248942,0.014016661172173706,0.017777605590315715
JNJ,5,2015-10-15,2015-10-22,71.952880859375,73.7155990600586,hold_days,0.024498229669617455,0.023498229669617454,0.01779091357425311,0.005707316095364345
JNJ,5,2015-10-16,2015-10-23,72.76018524169922,74.29331970214844,hold_days,0.02107106318320051,0.02007106318320051,0.02718914544583173,-0.00711808226263122
JNJ,5,2015-10-21,2015-10-28,72.30840301513672,74.41921997070312,hold_days,0.029191862460640206,0.028191862460640205,0.04238956955547257,-0.014197707094832368
JNJ,5,2015-10-27,2015-11-03,74.20442962646484,75.51535034179688,hold_days,0.01766634043184534,0.01666634043184534,0.024779943356034062,-0.008113602924188723
JNJ,5,2015-10-29,2015-11-05,75.07839965820312,75.7894058227539,hold_days,0.009470182739478528,0.008470182739478527,0.010139872125143334,-0.0016696893856648076
JNJ,5,2015-11-05,2015-11-12,75.7894058227539,74.26370239257812,hold_days,-0.020130827173178933,-0.021130827173178934,-0.024664164001367284,0.0035333368281883493
JNJ,5,2015-11-16,2015-11-23,74.96728515625,76.67637634277344,hold_days,0.02279782685155629,0.02179782685155629,0.019010741307750934,0.0027870855438053566
JNJ,5,2015-11-17,2015-11-24,75.17465209960938,76.13169860839844,hold_days,0.01273097356700692,0.01173097356700692,0.020828458980093556,-0.009097485413086637
JNJ,5,2015-11-19,2015-11-27,75.90788269042969,76.37793731689453,hold_days,0.0061924349593813766,0.0051924349593813765,0.005563827752403272,-0.00037139279302189545
JNJ,5,2015-11-20,2015-11-30,76.45999145507812,75.53485107421875,hold_days,-0.012099666286294553,-0.013099666286294553,-0.0026963332831591025,-0.010403333003135451
JNJ,5,2015-11-24,2015-12-02,76.13169860839844,76.1391830444336,hold_days,9.83090640556128e-05,-0.0009016909359443872,-0.002529449709242515,0.0016277587732981278
JNJ,5,2015-12-09,2015-12-16,76.21378326416016,78.52667999267578,hold_days,0.030347486103649013,0.029347486103649012,0.017387831546288757,0.011959654557360255
JPM,5,2015-06-01,2015-06-08,49.037071228027344,49.63815689086914,hold_days,0.012257780650208216,0.011257780650208216,-0.013099541114749758,0.024357321764957973
JPM,5,2015-06-05,2015-06-12,50.031463623046875,50.647403717041016,hold_days,0.012311054872086613,0.011311054872086612,0.0022713313010795932,0.009039723571007019
