stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,birth_volume_ratio
MMM,5,0.01,2021-03-01,2021-03-08,121.97052001953125,127.05921173095703,hold_days,0.04172066914702777,0.040720669147027766,3,2021-02-26,0.0030511975380214107,0.037669471609006355,1.545875727948635
MMM,5,0.01,2021-08-04,2021-08-11,137.5779266357422,140.39175415039062,hold_days,0.020452608812011386,0.019452608812011385,2,2021-08-02,0.021068529400021463,-0.001615920588010078,0.5849788751000892
MMM,5,0.01,2022-10-10,2022-10-17,79.06551361083984,83.00200653076172,hold_days,0.049787736019742734,0.04878773601974273,3,2022-10-07,0.0254727875322438,0.023314948487498932,1.3293955020784005
MMM,5,0.01,2022-11-21,2022-11-29,94.12954711914062,93.02326202392578,hold_days,-0.011752793135343609,-0.01275279313534361,3,2022-11-18,0.002843090787992608,-0.015595883923336218,1.2694854297868166
MMM,5,0.01,2023-07-07,2023-07-14,73.80840301513672,77.60919952392578,hold_days,0.051495444333209406,0.050495444333209405,1,2023-07-06,0.018752574915281484,0.03174286941792792,1.2850256751355944
MMM,5,0.01,2023-09-15,2023-09-22,77.81507110595703,74.71973419189453,hold_days,-0.039778115859429475,-0.040778115859429476,2,2023-09-13,-0.02721139730390132,-0.013566718555528157,1.9970632007012343
MMM,5,0.01,2023-11-10,2023-11-17,71.46266174316406,74.56596374511719,hold_days,0.04342550258072331,0.04242550258072331,1,2023-11-09,0.023739167332209377,0.01868633524851393,0.6819698779231498
MMM,5,0.01,2024-02-16,2024-02-26,72.55255126953125,73.0057601928711,hold_days,0.006246629724379726,0.005246629724379726,2,2024-02-14,0.007750695855875289,-0.002504066131495563,1.1930579333782054
MMM,5,0.01,2024-03-06,2024-03-13,73.56232452392578,82.74568939208984,hold_days,0.12483788308208266,0.12383788308208266,2,2024-03-04,0.015034164768960911,0.10880371831312174,1.5224598227348487
MMM,5,0.01,2024-08-09,2024-08-16,118.89769744873047,121.6554183959961,hold_days,0.023194065204288572,0.02219406520428857,2,2024-08-07,0.029319331870296006,-0.007125266666007435,0.39818451866624943
MMM,5,0.01,2025-05-07,2025-05-14,134.84066772460938,143.82745361328125,hold_days,0.06664744427864999,0.06564744427864999,1,2025-05-06,0.028347949654938587,0.037299494623711404,0.8706038324897132
MMM,5,0.01,2025-06-04,2025-06-11,143.48609924316406,143.8477020263672,hold_days,0.0025201241451990875,0.0015201241451990874,2,2025-06-02,0.01945481676040184,-0.017934692615202752,0.9217385064032724
MMM,5,0.01,2026-06-18,2026-06-26,159.9000244140625,163.29515075683594,hold_days,0.02123280690678153,0.02023280690678153,1,2026-06-17,0.014094070219402566,0.006138736687378965,0.946558197747184
MMM,5,0.01,2026-07-09,2026-07-16,154.66294860839844,161.06492614746094,hold_days,0.041393091213281386,0.040393091213281385,1,2026-07-08,0.011278930997386638,0.029114160215894747,0.6818423226720169
ABT,5,0.01,2015-09-11,2015-09-18,35.09717559814453,35.03249740600586,hold_days,-0.0018428318243959296,-0.0028428318243959297,1,2015-09-10,0.0019340679781307824,-0.004776899802526712,0.8246957982316085
ABT,5,0.01,2016-01-15,2016-01-25,33.17514419555664,32.45501708984375,hold_days,-0.02170682669736046,-0.02270682669736046,2,2016-01-13,-0.008456896168883343,-0.014249930528477117,0.8297381474218479
ABT,5,0.01,2016-03-03,2016-03-10,31.767614364624023,31.939456939697266,hold_days,0.005409363545554768,0.004409363545554768,3,2016-02-29,-0.0004283991951770094,0.004837762740731778,1.270937262545839
ABT,5,0.01,2016-03-16,2016-03-23,32.880531311035156,33.37154006958008,hold_days,0.0149331150978127,0.013933115097812698,1,2016-03-15,0.00626408783614929,0.007669027261663408,0.6305875086852467
ABT,5,0.01,2016-06-28,2016-07-06,30.92428970336914,33.6165771484375,hold_days,0.08706060740256993,0.08606060740256993,1,2016-06-27,0.04713712358045696,0.03892348382211297,1.239793956802205
ABT,5,0.01,2016-09-14,2016-09-21,33.807071685791016,34.726600646972656,hold_days,0.027199308172204617,0.026199308172204616,1,2016-09-13,0.018217167076681307,0.00798214109552331,0.719125095597979
ABT,5,0.01,2017-02-09,2017-02-16,35.69330978393555,37.086143493652344,hold_days,0.039022262663454876,0.038022262663454875,1,2017-02-08,0.021118496087096927,0.016903766576357948,0.5992831464635403
