stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,bounce_1d,bounce_2d,bounce_3d,bounce_5d,bounce_to_entry_high
SO,5,0.01,2024-07-02,2024-07-10,72.63441467285156,73.46800994873047,hold_days,0.011476588331212678,0.010476588331212677,1,2024-07-01,0.012874929182405737,-0.0023983408511930593,0.007142736997291399,,,,0.007142736997291399
SO,5,0.01,2024-08-28,2024-09-05,80.9820785522461,84.53302001953125,hold_days,0.04384848513111761,0.04284848513111761,1,2024-08-27,-0.0010857250397164897,0.0439342101708341,0.00011655246660624563,,,,0.00011655246660624563
SO,5,0.01,2025-04-28,2025-04-30,87.1447982788086,88.23950958251953,resistance,0.012561981039976189,0.011561981039976188,3,2025-04-25,0.009535453849147446,0.002026527190828742,0.003538491761705842,,,,0.003538491761705842
SO,5,0.01,2025-06-09,2025-06-16,85.6990737915039,86.12515258789062,hold_days,0.004971801648910645,0.003971801648910645,3,2025-06-06,0.0058533639214561894,-0.0018815622725455441,0.002719176653912081,,,,0.002719176653912081
SO,5,0.01,2025-11-21,2025-12-01,87.8469009399414,87.59105682373047,hold_days,-0.002912386361652697,-0.003912386361652697,1,2025-11-20,0.023084793694450267,-0.026997180056102965,0.007903198035221104,,,,0.007903198035221104
SO,5,0.01,2026-01-09,2026-01-16,85.62294006347656,87.4828109741211,hold_days,0.021721642696054477,0.020721642696054476,2,2026-01-07,0.0018734683063181823,0.018848174389736294,0.011011902862889889,0.008577714514083956,,,0.011011902862889889
SO,5,0.01,2026-01-26,2026-02-02,86.75460815429688,86.78413391113281,hold_days,0.0003403364670084841,-0.0006596635329915159,4,2026-01-22,0.0043096908402355805,-0.004969354373227096,0.00034277577680041915,0.007427664919978039,,,0.007427664919978039
SO,5,0.01,2026-06-18,2026-06-26,93.08999633789062,97.16000366210938,hold_days,0.043721210488028905,0.042721210488028905,1,2026-06-17,0.006110752733903935,0.03661045775412497,0.006052064908478538,,,,0.006052064908478538
DUK,5,0.01,2015-12-03,2015-12-10,43.16102981567383,43.943058013916016,hold_days,0.018118849378292445,0.017118849378292444,1,2015-12-02,0.0022013109684784204,0.014917538409814024,0.0015122169229324633,,,,0.0015122169229324633
DUK,5,0.01,2016-01-12,2016-01-14,46.445518493652344,47.16236877441406,resistance,0.015434218499674746,0.014434218499674745,4,2016-01-08,-0.013777266696707091,0.028211485196381836,0.011120521036291686,0.0032376075322908537,,,0.011120521036291686
DUK,5,0.01,2016-03-02,2016-03-09,48.49032974243164,51.04554748535156,hold_days,0.05269540868236189,0.05169540868236189,1,2016-03-01,0.001912217482142431,0.04978319120021946,0.00381754651524302,,,,0.00381754651524302
DUK,5,0.01,2016-04-22,2016-04-29,50.71628952026367,51.88194274902344,hold_days,0.022983803424618143,0.021983803424618142,1,2016-04-21,-0.01394919384053972,0.03593299726515786,0.008776718035100606,,,,0.008776718035100606
DUK,5,0.01,2016-05-09,2016-05-16,52.72492218017578,53.34396743774414,hold_days,0.011741036913300862,0.010741036913300861,3,2016-05-06,0.0029307960301916403,0.007810240883109221,0.008566618340581256,,,,0.008566618340581256
DUK,5,0.01,2016-10-12,2016-10-19,51.52842712402344,52.523380279541016,hold_days,0.019308820607367494,0.018308820607367493,1,2016-10-11,0.00668069648917724,0.011628124118190253,0.009748035950610578,,,,0.009748035950610578
DUK,5,0.01,2016-11-16,2016-11-23,50.293121337890625,50.00074768066406,hold_days,-0.005813392556454633,-0.006813392556454633,2,2016-11-14,0.01708386183611199,-0.023897254392566625,0.020015765631335336,0.005002969491193721,,,0.020015765631335336
DUK,5,0.01,2017-04-21,2017-04-24,56.51475143432617,56.76911544799805,resistance,0.004500842828043972,0.0035008428280439716,1,2017-04-20,0.00916102659437712,-0.005660183766333148,0.002194070597607123,,,,0.002194070597607123
DUK,5,0.01,2017-08-14,2017-08-21,59.8179817199707,60.75982666015625,hold_days,0.015745180848706353,0.014745180848706352,3,2017-08-11,-0.012417124023530013,0.027162304872236365,0.004900974388840851,,,,0.004900974388840851
DUK,5,0.01,2018-04-13,2018-04-20,54.98752212524414,55.711891174316406,hold_days,0.01317333498720652,0.012173334987206519,1,2018-04-12,0.004342672654407798,0.007830662332798721,0.006961089279700294,,,,0.006961089279700294
DUK,5,0.01,2018-05-22,2018-05-30,53.75202560424805,55.86377716064453,hold_days,0.039286920495691824,0.03828692049569182,1,2018-05-21,0.012140133209975756,0.026146787285716067,0.005293518944072817,,,,0.005293518944072817
DUK,5,0.01,2018-06-12,2018-06-19,52.59817123413086,54.91311264038086,hold_days,0.04401182307167062,0.04301182307167062,1,2018-06-11,-0.0038864517334145088,0.04689827480508513,0.004991980207300406,,,,0.004991980207300406
DUK,5,0.01,2018-08-09,2018-08-16,58.64316177368164,60.034934997558594,hold_days,0.023732915855528836,0.022732915855528835,1,2018-08-08,0.0010246338407917666,0.021708282014737068,0.004724040878727465,,,,0.004724040878727465
DUK,5,0.01,2018-08-29,2018-09-06,59.25687789916992,61.26807403564453,hold_days,0.03394029870923698,0.03294029870923698,1,2018-08-28,-0.004644111472461132,0.037584410181698114,0.004729146167135045,,,,0.004729146167135045
DUK,5,0.01,2018-11-23,2018-11-30,64.36682891845703,65.71723175048828,hold_days,0.020979794324527123,0.019979794324527123,2,2018-11-21,0.048661195332527996,-0.028681401008000873,0.0034702295435047326,,,,0.0034702295435047326
DUK,5,0.01,2019-02-19,2019-02-26,65.93274688720703,66.63749694824219,hold_days,0.010688923096754843,0.009688923096754842,4,2019-02-15,0.0005016722777571037,0.009187250818997739,0.004913670634992151,,,,0.004913670634992151
DUK,5,0.01,2019-04-04,2019-04-11,66.98988342285156,67.67215728759766,hold_days,0.010184729841063778,0.009184729841063777,1,2019-04-03,0.0031220911509153293,0.0060626386901484475,0.0056276449914280935,,,,0.0056276449914280935
DUK,5,0.01,2019-06-03,2019-06-10,65.19025421142578,65.3948974609375,hold_days,0.003139169374121842,0.002139169374121842,4,2019-05-30,0.05645869375337598,-0.054319524379254136,0.0009351520048681561,0.005728850645808192,,,0.005728850645808192
DUK,5,0.01,2019-10-03,2019-10-10,72.84668731689453,73.75823211669922,hold_days,0.01251319494926828,0.01151319494926828,1,2019-10-02,0.011521453211284616,-8.258262016336282e-06,0.004117780987600739,,,,0.004117780987600739
DUK,5,0.01,2019-12-03,2019-12-10,68.02696990966797,68.9483642578125,hold_days,0.013544544896943567,0.012544544896943566,1,2019-12-02,0.011301427596022373,0.0012431173009211927,0.006529823156878445,,,,0.006529823156878445
DUK,5,0.01,2020-02-11,2020-02-19,75.09603881835938,79.29122924804688,hold_days,0.055864337130147934,0.05486433713014793,1,2020-02-10,0.01346881345103168,0.04139552367911625,0.007897820355587726,,,,0.007897820355587726
