stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,bounce_1d,bounce_2d,bounce_3d,bounce_5d,bounce_to_entry_high
KO,5,0.01,2020-12-01,2020-12-08,43.919429779052734,44.88154983520508,hold_days,0.021906478772436788,0.020906478772436787,1,2020-11-30,0.01985957925336601,0.0010468995190707764,0.008527076033006953,,,,0.008527076033006953
KO,5,0.01,2021-01-11,2021-01-19,42.36655044555664,40.940269470214844,hold_days,-0.03366526092735933,-0.03466526092735933,4,2021-01-07,0.0037569318151386977,-0.03842219274249803,0.022418085884064576,0.004803836772507841,,,0.022418085884064576
KO,5,0.01,2021-02-01,2021-02-08,40.91495895385742,42.13024139404297,hold_days,0.029702643513735527,0.028702643513735526,3,2021-01-29,0.05096382252945353,-0.022261179015718002,0.006853630690417223,,,,0.006853630690417223
KO,5,0.01,2021-04-05,2021-04-12,44.940242767333984,45.3997802734375,hold_days,0.010225523446383056,0.009225523446383055,4,2021-04-01,0.00589207847779627,0.003333444968586785,0.0057130451848927954,,,,0.0057130451848927954
KO,5,0.01,2021-04-29,2021-05-03,46.174171447753906,46.36138153076172,resistance,0.00405443296843222,0.00305443296843222,2,2021-04-27,-3.8266205466652714e-05,0.0030926991738988727,0.00018640312989925967,0.012691225306918907,,,0.012691225306918907
KO,5,0.01,2021-08-05,2021-08-12,48.442649841308594,48.73415756225586,hold_days,0.006017584130971532,0.005017584130971532,1,2021-08-04,0.0139885358221008,-0.00897095169112927,0.0071302788696747665,,,,0.0071302788696747665
KO,5,0.01,2021-09-13,2021-09-20,48.073970794677734,46.70043182373047,hold_days,-0.028571365090967915,-0.029571365090967916,3,2021-09-10,-0.02715788050979384,-0.0024134845811740746,0.0082718386573426,,,,0.0082718386573426
KO,5,0.01,2022-03-11,2022-03-18,50.42294692993164,52.72127914428711,hold_days,0.045581076757557515,0.044581076757557514,1,2022-03-10,0.04786865406746399,-0.0032875773099064753,0.0006908953454050071,,,,0.0006908953454050071
KO,5,0.01,2022-06-17,2022-06-27,52.51020431518555,55.58501052856445,hold_days,0.058556355921275616,0.057556355921275615,1,2022-06-16,0.04254458451918275,0.015011771402092866,0.00609457054418816,,,,0.00609457054418816
KO,5,0.01,2022-07-22,2022-07-29,54.418701171875,56.69829559326172,hold_days,0.04188990865818143,0.04088990865818143,1,2022-07-21,0.04449800822712602,-0.0036080995689445894,0.003748312021223388,,,,0.003748312021223388
KO,5,0.01,2022-08-10,2022-08-15,56.238834381103516,56.989871978759766,resistance,0.013354430366867565,0.012354430366867564,2,2022-08-08,0.022145450834001768,-0.009791020467134204,0.0012703997408876067,0.01079863776727219,,,0.01079863776727219
KO,5,0.01,2022-10-11,2022-10-18,48.48750686645508,50.23192596435547,hold_days,0.03597667132494342,0.03497667132494342,1,2022-10-10,0.04278210256578774,-0.007805431240844318,0.0016544896126107211,,,,0.0016544896126107211
KO,5,0.01,2023-01-20,2023-01-27,53.85077667236328,54.21826171875,hold_days,0.006824136420957361,0.005824136420957361,1,2023-01-19,0.016461353803789658,-0.010637217382832298,0.006028119441527924,,,,0.006028119441527924
KO,5,0.01,2023-05-11,2023-05-12,57.67790985107422,57.90370178222656,resistance,0.0039147037702189635,0.0029147037702189635,2,2023-05-09,-0.000618584605890482,0.0035332883761094456,0.0017352674996404804,0.007414464084913197,,,0.007414464084913197
KO,5,0.01,2023-06-01,2023-06-08,54.191585540771484,54.5257682800293,hold_days,0.00616669056502106,0.00516669056502106,1,2023-05-31,0.029165050090359745,-0.023998359525338686,0.005698913716251752,,,,0.005698913716251752
KO,5,0.01,2024-07-11,2024-07-12,59.264984130859375,59.82852554321289,resistance,0.009508842710717502,0.008508842710717501,2,2024-07-09,0.0036756144223073495,0.004833228288410152,0.002233234125994299,0.006540065334569745,,,0.006540065334569745
KO,5,0.01,2024-10-08,2024-10-15,65.4209213256836,66.51786041259766,hold_days,0.01676740505461849,0.01576740505461849,1,2024-10-07,0.013411670854813984,0.0023557341998045045,0.002463355382064991,,,,0.002463355382064991
KO,5,0.01,2024-11-18,2024-11-25,58.49867248535156,60.88172912597656,hold_days,0.040736935376127326,0.039736935376127325,3,2024-11-15,0.024108293742557185,0.01562864163357014,0.0019437678099767375,,,,0.0019437678099767375
KO,5,0.01,2025-06-06,2025-06-13,68.4864501953125,68.65438079833984,hold_days,0.0024520266789771483,0.0014520266789771483,1,2025-06-05,0.0024053326435140576,-0.0009533059645369093,0.006204925291157126,,,,0.006204925291157126
