stock,entry_date,entry_price,exit_date,exit_price,exit_reason,ret,ret_net,real_confirms,bench_ret,excess_ret,market_depth_10d
AMGN,2016-05-23,110.16085052490234,2016-05-31,116.54325103759766,hold_days,0.057937102721012046,0.056937102721012045,False,0.026682069886092785,0.03025503283491926,0.014349471334492235
AMGN,2016-08-29,127.28407287597656,2016-09-06,126.78691101074219,hold_days,-0.0039059236085161597,-0.00490592360851616,False,-0.0003874228978704153,-0.0045185007106457445,0.0033471671094667164
AMGN,2017-01-26,114.29924011230469,2017-02-02,119.23038482666016,hold_days,0.04314241030395638,0.04214241030395638,True,-0.00487714016554186,0.04701955046949824,0.0006632498249847057
AMGN,2017-06-30,130.50608825683594,2017-07-10,130.48336791992188,hold_days,-0.00017409407651047815,-0.0011740940765104782,True,0.004822710972543165,-0.005996805049053643,0.01077552474388973
AMGN,2017-10-20,139.5717010498047,2017-10-27,133.7129364013672,hold_days,-0.04197673743581343,-0.04297673743581343,False,0.006602253744088626,-0.049578991179902054,-0.008098139032298298
AMGN,2018-10-15,153.56849670410156,2018-10-22,155.47642517089844,hold_days,0.012423957437527777,0.011423957437527776,False,0.0003898505603636693,0.011034106877164107,0.0601833370770735
AMGN,2020-05-28,185.1353759765625,2020-06-04,182.45086669921875,hold_days,-0.01450025022599466,-0.01550025022599466,False,0.04067821725712539,-0.056178467483120054,0.007270514748680537
AMGN,2021-07-26,208.1598663330078,2021-08-02,203.66680908203125,hold_days,-0.021584647079801234,-0.022584647079801234,False,-0.005306261147703051,-0.017278385932098184,-0.003641605141928765
AMGN,2021-09-30,182.01002502441406,2021-10-07,178.98866271972656,hold_days,-0.016599977414882616,-0.017599977414882617,False,0.027179628246521093,-0.04477960566140371,0.028651247621809237
AMGN,2022-07-21,215.67044067382812,2022-07-25,218.2502899169922,resistance,0.011961997365534716,0.010961997365534715,False,-0.002887015075049182,0.013849012440583897,-0.005565986462383417
AMGN,2022-08-05,216.0828857421875,2022-08-10,221.20748901367188,resistance,0.023715914631011747,0.022715914631011747,False,0.016476139546881763,0.006239775084129984,0.0007651177610879679
AMGN,2023-06-23,205.9178924560547,2023-06-30,201.30284118652344,hold_days,-0.022412094522170523,-0.023412094522170523,False,0.020310288088512207,-0.04372238261068273,0.023652347483911308
AMGN,2024-08-26,307.6722106933594,2024-09-03,311.18414306640625,hold_days,0.011414525754966709,0.010414525754966708,False,-0.007228369017214353,0.01764289477218106,-0.002688617959590822
AMGN,2025-07-18,284.4960632324219,2025-07-25,295.9044494628906,hold_days,0.04010033074218167,0.039100330742181666,True,0.01488879643362151,0.024211534308560156,0.010814065847502389
AAPL,2015-10-01,24.534791946411133,2015-10-08,24.516889572143555,hold_days,-0.0007296729602060958,-0.0017296729602060959,False,0.052327111072062005,-0.0540567840322681,0.03095500373456475
AAPL,2015-10-16,24.861692428588867,2015-10-23,26.66182518005371,hold_days,0.07240588132265846,0.07140588132265846,True,0.027189061677719284,0.044216819644939176,-0.003563537621448003
AAPL,2017-11-17,39.739566802978516,2017-11-27,40.65977478027344,hold_days,0.02315596397557984,0.02215596397557984,False,0.012333669964022409,0.009822294011557431,0.004210053467110456
AAPL,2019-08-27,48.978843688964844,2019-09-04,50.18555450439453,hold_days,0.024637388810009098,0.023637388810009097,False,0.022866422624443272,0.0007709661855658245,0.01898300666937789
AAPL,2019-09-27,52.49583435058594,2019-09-30,53.731327056884766,resistance,0.023535061811719604,0.022535061811719603,False,0.004178132662569611,0.018356929149149992,0.010460873514379703
AAPL,2020-02-20,77.2549057006836,2020-02-27,65.97179412841797,hold_days,-0.1460504219108223,-0.1470504219108223,False,-0.11685790452179179,-0.030192517389030504,0.008422293268770403
AAPL,2020-07-28,90.21187591552734,2020-08-04,106.08921813964844,hold_days,0.1760005771190074,0.1750005771190074,False,0.004318808101732907,0.1706817690172745,0.01532464490563644
AAPL,2020-10-06,109.66764068603516,2020-10-13,117.36259460449219,hold_days,0.07016612986584381,0.0691661298658438,False,0.03486783516734393,0.034298294698499876,0.012728636725672251
AAPL,2020-10-21,113.26312255859375,2020-10-28,107.76811981201172,hold_days,-0.04851537395800942,-0.04951537395800942,False,-0.04838633356596478,-0.0011290403920446446,0.028356565653558777
AAPL,2022-04-29,154.18785095214844,2022-05-06,154.052001953125,hold_days,-0.0008810616282964867,-0.0018810616282964867,False,0.010593172753557312,-0.0124742343818538,0.07347482020360485
AAPL,2024-02-02,183.61146545410156,2024-02-09,186.81341552734375,hold_days,0.017438726200039945,0.016438726200039944,True,0.0025465951657916985,0.013892131034248245,0.0002763492034248159
AAPL,2024-02-23,180.5516815185547,2024-03-01,177.7225341796875,hold_days,-0.01566945993010005,-0.01666945993010005,True,0.004299028337553912,-0.020968488267653962,-0.00368679177547056
AAPL,2025-03-03,236.5749053955078,2025-03-10,226.08938598632812,hold_days,-0.044322196353201115,-0.045322196353201116,True,-0.021172173801307093,-0.024150022551894024,0.01942461672606921
