stock,entry_date,entry_price,exit_date,exit_price,exit_reason,ret,ret_net,real_confirms,bench_ret,excess_ret,vix_level,vix_chg_5d,vix_chg_10d,vix_ratio_5_60,clv_entry,clv_prev_day,range_ratio_entry
EMR,2019-03-27,56.94833755493164,2019-04-03,60.01835250854492,hold_days,0.05390877215075829,0.05290877215075829,False,0.02678296337892494,0.026125808771833348,14.680000305175781,0.08259585921094992,0.06608568025856831,0.8869318516406869,0.5428605682771849,0.5569644702405593,0.6141551367753851
EMR,2019-11-18,63.40657806396485,2019-11-22,63.918556213378906,resistance,0.008074527360514061,0.007074527360514061,True,0.0001535296178027945,0.0069209977427112665,12.050000190734863,-0.0016569597841772365,-0.020325202936851694,0.8263067738815231,0.5818143986683407,0.7605656504873161,0.4762164705140004
EMR,2020-06-26,52.80781173706055,2020-07-06,55.13641357421875,hold_days,0.04409578356991428,0.04309578356991428,False,0.05822766263941492,-0.015131879069500642,32.220001220703125,-0.02185784565947302,-0.21010050263475022,0.9497533984606068,0.5454539149252006,0.965516485395641,0.5487499038809543
EMR,2020-09-11,60.32843017578125,2020-09-18,60.266258239746094,hold_days,-0.001030557829103218,-0.002030557829103218,False,0.008514057858096225,-0.010544615687199443,29.709999084472656,0.11817837507390339,0.2767511173193973,1.1532511879019445,0.43434133259351804,0.15736294207860058,0.5969632489328587
EMR,2021-08-04,90.62999725341795,2021-08-11,94.32032012939452,hold_days,0.04071855884159126,0.039718558841591256,False,0.009977648166807684,0.02974091067478357,18.040000915527344,-0.06818180026907805,-0.08565629325490742,1.0162357724377191,0.6067957119868407,0.9383899451117698,2.381941919722293
EMR,2021-12-22,82.11595153808594,2021-12-30,84.66520690917969,hold_days,0.03104458175719227,0.030044581757192268,False,0.020309952228566353,0.009734629528625915,21.010000228881836,-0.040200967807369814,-0.040200967807369814,1.0716757256291285,0.177778060348661,0.8317753677440566,1.236775870235936
EMR,2022-04-29,82.83261108398438,2022-05-06,80.83940887451172,hold_days,-0.024063013146497836,-0.025063013146497837,True,0.003561548653217228,-0.028624561799715065,29.989999771118164,0.32231037775930615,0.37442713980568465,1.1702570667371188,0.07480408382719403,0.8962653894005063,1.1942042294529176
EMR,2022-09-30,68.07416534423828,2022-10-07,72.36018371582031,hold_days,0.06296101244735719,0.06196101244735719,True,0.007937173235320394,0.054023839212036795,31.84000015258789,0.16416817946957862,0.21202891502722054,1.279817146317324,0.06395379783892957,0.8863624541224744,0.9617416296545235
EMR,2022-10-14,72.72274017333984,2022-10-21,77.31558227539062,hold_days,0.06315551492013927,0.062155514920139265,True,0.044897056433631954,0.01725845848650731,31.940000534057617,0.04652686942973894,0.0031407154833698048,1.2799549806246011,0.09259337750839448,0.9345234581132701,1.5271219988022193
EMR,2022-12-30,89.82077026367188,2023-01-09,90.9428482055664,hold_days,0.012492410592790826,0.011492410592790825,False,0.021705064409272667,-0.010212653816481843,21.440000534057617,0.06826112905157156,0.014191161450840983,0.8651886981334828,0.8288267234861514,0.6321854200100141,0.6572844217573186
EMR,2023-03-17,76.04425048828125,2023-03-24,77.97266387939453,hold_days,0.025359095246924035,0.024359095246924034,False,0.014576243791010635,0.0097828514559134,22.989999771118164,0.016806685117585873,0.1735579168987973,1.2000869603882178,0.47979562505057605,0.8798430356688728,0.9578520516592436
EMR,2023-05-04,77.83155822753906,2023-05-11,77.60591125488281,hold_days,-0.002899170693673847,-0.003899170693673847,False,0.00949803655944037,-0.013397207253114218,18.34000015258789,-0.026539277916689308,0.11421635313994094,0.8533855447349862,0.2380940023666705,0.015480804888474774,0.9210206779153156
EMR,2023-08-24,91.1346435546875,2023-08-31,93.5141372680664,hold_days,0.026109650738371792,0.02510965073837179,False,0.02665198758272669,-0.0015423368443548968,15.979999542236328,-0.047675870779067764,0.0012531017569896719,1.1589009070088285,0.025317005804142843,0.7387380575984567,1.2827869645002943
EMR,2024-09-10,96.28081512451172,2024-09-17,100.94425201416016,hold_days,0.04843578529759651,0.04743578529759651,False,0.01672527343985042,0.030710511857746092,19.450000762939453,0.29666671752929696,0.22635568625316926,1.262267979770763,0.5780335604507071,0.5440002441406285,0.9060932084759441
EMR,2025-08-15,130.15260314941406,2025-08-22,132.1481170654297,hold_days,0.015332109137492944,0.014332109137492943,False,0.007827892662378932,0.006504216475114011,14.829999923706055,-0.10500904062549066,-0.11303824564985887,0.8658480479961279,0.12156752454866783,0.6863620915667317,0.7673724203383377
ITW,2015-11-17,69.97997283935547,2015-11-20,72.65180206298828,resistance,0.03817991226956052,0.03717991226956052,False,0.020776389921649763,0.01640352234791076,18.15999984741211,0.09927356805112608,0.28339224996377377,0.8464406850382686,0.08695610967368832,0.9574459450685063,1.1856026966340822
ITW,2016-09-16,91.7830581665039,2016-09-23,93.0627670288086,hold_days,0.013942756842806103,0.012942756842806102,False,0.014646382354933651,-0.001703625512127549,16.299999237060547,0.3029575490677243,0.21460500330801335,1.2218772684722348,0.32174109186441713,0.8397782835946648,0.6000423998005759
ITW,2016-10-13,92.00917053222656,2016-10-20,89.97581481933594,hold_days,-0.02209948966096198,-0.02309948966096198,True,0.006879601628280829,-0.02997909128924281,15.90999984741211,0.22478830852531995,0.2841000328128611,1.071474393067701,0.48647840565816475,0.8019828904877728,0.4243083461575267
ITW,2017-01-09,97.6311492919922,2017-01-17,98.06228637695312,hold_days,0.004415978794549469,0.003415978794549469,False,-0.0027890957449087095,0.006205074539458178,11.319999694824219,-0.1533283626239268,0.004436489354896489,0.8812172197497816,0.08653486410155063,0.817678300455233,0.6734065078875335
ITW,2017-06-29,114.14988708496094,2017-07-07,117.72862243652344,hold_days,0.03135119484523785,0.03035119484523785,False,-0.0001503056220125698,0.03050150046725042,10.029999732971191,-0.06697676902593563,-0.0573308825816321,0.9021989835037166,0.1955710207597842,0.6923119057866114,1.4662747311457305
ITW,2017-08-23,110.00686645507812,2017-08-30,110.37764739990234,hold_days,0.003370525466022789,0.002370525466022789,False,0.007373180022368864,-0.005002654556346075,11.350000381469727,-0.057308935429357444,0.03558397280705594,1.2159514318379605,0.03882847915617782,0.9014055246718955,0.6101130665556298
ITW,2017-11-17,127.33161926269533,2017-11-20,128.71726989746094,resistance,0.010882219536585858,0.009882219536585857,True,0.0021950242341417514,0.007687195302444105,11.760000228881836,0.12000002179827018,0.18429001686457247,1.1326018875917534,0.5641065769396353,0.803090645583195,0.659488857720163
